dérivé,base,procédé,allomorphie?,pred=att?,m=f
fiscalité,fiscal-ité,ité,,,
fixité,fixe-ité,ité,,,
flaccidité,flaccide-ité,ité,,,
flatuosité,flatueux-ité,ité,,,
flexibilité,flexible-ité,ité,,,
flexuosité,flexueux-ité,ité,,,
fluidité,fluide-ité,ité,,,
formalité,formel,ité,el~al,1,-1
fragilité,fragile-ité,ité,,,
francité,france-ais-ité,ité,,,
frigidité,frigide-ité,ité,,,
frilosité,frileux-ité,ité,,,
frivolité,frivole-ité,ité,0,1,1
frugalité,frugal-ité,ité,,,
fugacité,fugace-ité,ité,,,
furtivité,furt-if-ité,ité,0,1,0
futilité,futile-ité,ité,,,
fébrilité,fébrile-ité,ité,,,
fécondité,fécond-ité,ité,,,
félicité,félic-ité,ité,,,
félinité,félin-ité,ité,0,1,0
féminité,féminin-ité,ité,0,1,0
féodalité,féodal-ité,ité,0,1,-1
férocité,féroce-ité,ité,0,1,1
fétidité,fétide-ité,ité,0,1,1
germanité,germain-ité,ité,,,
gibbosité,gibbeux-ité,ité,,,
globalité,globe-al-ité,ité,,,
gracilité,gracile-ité,ité,,,
gratuité,gratu-ité,ité,,,
gravidité,grave-ide-ité,ité,,,
gravité,grave-ité,ité,,,
gémellité,jumeau-ité,ité,,,
génialité,génie-al-ité,ité,,,
génitalité,génit-al-ité,ité,,,
généralité,génér-al-ité,ité,,,
générosité,génér-eux-ité,ité,,,
habilité,habile-ité,ité,,,
habitabilité,habitable,ité,able~abil,1,1
haute-fidélité,haute-fidèle-ité,ité,,,
hilarité,hilare-ité,ité,,,
histocompatibilité,histo-compatible-ité,ité,,,
historicité,historique,ité,ique~ic,1,1
homogénéité,homo-gène-ité,ité,,,
honorabilité,honorable,ité,able~abil,1,1
horizontalité,horizontal-ité,ité,,,
hostilité,hostile-ité,ité,,,
humanité,humain-ité,ité,,,
humidité,humide-ité,ité,,,
humilité,humil-ité,ité,,,
hyperacidité,hyper-acide-ité,ité,,,
hyperactivité,hyper-act-ion-if-ité,ité,,,
hyperréactivité,hyper-re-act-ion-if-ité,ité,,,
hypersensibilité,hyper-sensible-ité,ité,,,
hyperémotivité,hyper-émotion-if-ité,ité,,,
hérédité,héréd-ité,ité,,,
hétérogénéité,hétéro-gène-ité,ité,,,
illégalité,in-légal-ité,ité,,,
illégitimité,in-légitime-ité,ité,,,
imbécillité,imbécile-ité,ité,,,
immaturité,in-mature-ité,ité,,,
immensité,immense-ité,ité,,,
immobilité,in-mobile-ité,ité,,,
immoralité,in-moral-ité,ité,,,
immunité,immun-ité,ité,,,
impartialité,in-partial-ité,ité,,,
impassibilité,in-passible-ité,ité,,,
impossibilité,in-possible-ité,ité,,,
imprévisibilité,in-pré-visible-ité,ité,,,
impulsivité,impulser-ion-if-ité,ité,,,
impunité,in-puni-ité,ité,,,
impécuniosité,in-pécunieux-ité,ité,,,
impétuosité,impétueux-ité,ité,,,
inaccessibilité,in-accessible-ité,ité,,,
inactivité,in-act-ion-if-ité,ité,,,
inanité,inane-ité,ité,,,
incapacité,in-capac-ité,ité,,,
incommodité,in-commode-ité,ité,,,
incompatibilité,in-compatible-ité,ité,,,
incongruité,in-congru-ité,ité,,,
incorruptibilité,in-corruptible-ité,ité,,,
incrédibilité,in-crédible-ité,ité,,,
incrédulité,in-crédule-ité,ité,,,
incuriosité,in-curieux-ité,ité,,,
indemnité,indemne-ité,ité,,,
indestructibilité,in-destructible-ité,ité,,,
indignité,in-digne-ité,ité,,,
indisponibilité,in-disponible-ité,ité,,,
indivisibilité,in-di-visible-ité,ité,,,
indocilité,in-docile-ité,ité,,,
inefficacité,in-efficace-ité,ité,,,
infaillibilité,in-faillible-ité,ité,,,
infertilité,in-fertile-ité,ité,,,
infidélité,in-fidèle-ité,ité,,,
infinité,in-fini-ité,ité,,,
infirmité,infirme-ité,ité,,,
inflexibilité,in-flexible-ité,ité,,,
infécondité,in-fécond-ité,ité,,,
infériorité,inférieur-ité,ité,,,
ingéniosité,ingénieux-ité,ité,,,
ingénuité,ingénu-ité,ité,,,
inhumanité,in-humain-ité,ité,,,
innocuité,in-nocu-ité,ité,,,
inopportunité,in-opportun-ité,ité,,,
insalubrité,in-salubre-ité,ité,,,
insanité,insane-ité,ité,,,
insensibilité,in-sensible-ité,ité,,,
insincérité,in-sincère-ité,ité,,,
insipidité,insipide-ité,ité,,,
insonorité,in-sonore-ité,ité,,,
instabilité,in-stable-ité,ité,,,
instantanéité,instantané-ité,ité,,,
insularité,insulaire,ité,aire~ar,1,1
insécurité,in-sécur-ité,ité,,,
intangibilité,in-tangible-ité,ité,,,
intelligibilité,intelligible-ité,ité,,,
intensité,intense-ité,ité,,,
interactivité,inter-act-ion-if-ité,ité,,,
intimité,intime-ité,ité,,,
intrépidité,intrépide-ité,ité,,,
intégralité,intégral-ité,ité,,,
intégrité,intègre-ité,ité,,,
intériorité,intérieur-ité,ité,,,
inutilité,in-utile-ité,ité,,,
invalidité,in-valide-ité,ité,,,
inventivité,inventer-ion-if-ité,ité,0,1,0
invincibilité,in-vincible-ité,ité,,,
invisibilité,in-visible-ité,ité,,,
inégalité,in-égal-ité,ité,,,
inéligibilité,in-éligible-ité,ité,,,
irrégularité,in-régulier-ité,ité,,,
irréligiosité,irréligieux-ité,ité,,,
irréversibilité,in-réversible-ité,ité,,,
jovialité,jovial-ité,ité,,,
judaïcité,judaïque-ité,ité,,,
judéité,judé-ité,ité,,,
juvénilité,juvénile-ité,ité,,,
lascivité,lascif-ité,ité,,,
latinité,latin-ité,ité,0,1,0
latéralité,latér-al-ité,ité,,,
laxité,laxe-ité,ité,,,
libéralité,libéral-ité,ité,,,
licéité,licite-ité,ité,,,
limpidité,limpide-ité,ité,,,
liquidité,liquide-ité,ité,,,
lisibilité,lisible-ité,ité,,,
littéralité,littéral-ité,ité,,,
lividité,livide-ité,ité,,,
localité,loc-al-ité,ité,,,
longanimité,longanime-ité,ité,,,
loquacité,loquace-ité,ité,,,
lucidité,luce-ide-ité,ité,,,
luminosité,lumineux-ité,ité,,,
légalité,légal-ité,ité,,,
légitimité,légitime-ité,ité,,,
létalité,létal-ité,ité,,,
magnanimité,magnanime-ité,ité,,,
majorité,majeur-ité,ité,,,
malignité,malin-ité,ité,,,
maniabilité,maniable,ité,able~abil,1,1
manoeuvrabilité,manoeuvrable,ité,able~abil,1,1
marginalité,margin-al-ité,ité,,,
masculinité,mascul-in-ité,ité,0,1,0
massivité,masse-if-ité,ité,0,1,0
matité,mat-ité,ité,,,
maturité,mature-ité,ité,,,
mentalité,esprit-al-ité,ité,,,
merveillosité,merveille-eux-ité,ité,,,
mi-capacité,mi-capace-ité,pxf,,,
microgravité,micro-grave-ité,ité,,,
minorité,mineur-ité,ité,,,
mixité,mixe-ité,ité,,,
mobilité,mobile-ité,ité,,,
modalité,mode-al-ité,ité,,,
modernité,moderne-ité,ité,,,
mondanité,mondain-ité,ité,0,1,0
monstruosité,monstrueux-ité,ité,,,
monumentalité,monument-al-ité,ité,,,
moralité,moral-ité,ité,,,
morbidité,morbide-ité,ité,,,
morosité,morose-ité,ité,,,
mortalité,mortel,ité,el~al,1,-1
motilité,motile-ité,ité,,,
motricité,motric-ité,ité,,,
mucosité,muqueux-ité,ité,,,
multiplicité,multiplic-ité,ité,,,
municipalité,municipe-al-ité,ité,,,
musicalité,musique-al-ité,ité,,,
mutité,mut-ité,ité,,,
mutualité,mutuel,ité,el~al,1,-1
médiocrité,médiocre-ité,ité,,,
méticulosité,méticuleux-ité,ité,,,
natalité,naissance-al-ité,ité,,,
nationalité,nation-al-ité,ité,,,
nativité,natif-ité,ité,0,1,0
navigabilité,navigable,ité,able~abil,1,1
nervosité,nerveux-ité,ité,,,
neutralité,neutral-ité,ité,,,
nocivité,nocif-ité,ité,0,1,0
non-conformité,non-conforme-ité,pfx,,,
normalité,norme-al-ité,ité,,,
nubilité,nubile-ité,ité,,,
