verbe,cat_base
relocaliser,prefix
remagnétiser,prefix
remarginaliser,prefix
rematérialiser,prefix
remémoriser,prefix
remilitariser,prefix
reminéraliser,prefix
remiser,prefix
remobiliser,prefix
remonétiser,prefix
remoraliser,prefix
remythologiser,prefix
renationaliser,prefix
renaturaliser,prefix
renormaliser,prefix
réoptimiser,prefix
réorganiser,prefix
reperméabiliser,prefix
repersonnaliser,prefix
repoétiser,prefix
repolariser,prefix
repolitiser,prefix
repopulariser,prefix
repréciser,prefix
reprivatiser,prefix
reproblématiser,prefix
repuiser,prefix
rescolariser,prefix
resémantiser,prefix
resensibiliser,prefix
resexualiser,prefix
resocialiser,prefix
resolidariser,prefix
respiritualiser,prefix
restabiliser,prefix
restériliser,prefix
resymboliser,prefix
resynchroniser,prefix
resynthétiser,prefix
reterritorialiser,prefix
rethéâtraliser,prefix
retotaliser,prefix
retribaliser,prefix
réurbaniser,prefix
réutiliser,prefix
revaloriser,prefix
revaporiser,prefix
revasculariser,prefix
revégétaliser,prefix
reviriliser,prefix
reviser,prefix
revisualiser,prefix
revitaliser,prefix
aniser,simplex
aviser,simplex
baliser,simplex
briser,simplex
chemiser,simplex
deviser,simplex
diviser,simplex
franchiser,simplex
friser,simplex
gargariser,simplex
griser,simplex
improviser,simplex
inciser,simplex
iriser,simplex
maîtriser,simplex
marchandiser,simplex
mépriser,simplex
merchandiser,simplex
miser,simplex
piser,simplex
priser,simplex
puiser,simplex
riser,simplex
tamiser,simplex
téléviser,simplex
valiser,simplex
viser,simplex
