rid,graph_1,graph_2,cat_1,cat_2,type_cstr_1,cstr_1,type_cstr_2,cstr_2,complexite,orientation
r459,antiradiculaire,radical,Adj,Nm,pre-suf,antiXaire,NA,X,motiv-sem,des2as
r460,antiradiculaire,radical,Nm,Adj,pre-suf,antiXaire,NA,X,motiv-sem,des2as
r461,antiradiculaire,radical,Nm,Nm,pre-suf,antiXaire,NA,X,motiv-sem,des2as
r465,antirationnel,raison,Adj,Nf,pre-suf,antiXel,NA,X,motiv-sem,des2as
r472,antiréglementaire,règlement,Adj,Nm,pre-suf,antiXaire,NA,X,motiv-sem,des2as
r477,antirévolutionnaire,révolution,Adj,Nf,pre-suf,antiXaire,NA,X,motiv-sem,des2as
r480,antirévolutionnaire,révolution,Nm,Nf,pre-suf,antiXaire,NA,X,motiv-sem,des2as
r494,antisoviétique,Union Soviétique,Adj,Npx,pre-suf,antiXique,NA,X,motiv-sem,des2as
r503,antistatique,électricité statique,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r506,antisymétrique,symétrie,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r508,antisyphilitique,syphilis,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r510,antiségrégationniste,ségrégation,Adj,Nf,pre-suf,antiXiste,NA,X,motiv-sem,des2as
r519,antisémitique,sémite,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r523,antithermique,chaleur,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r525,antithyroïdien,thyroïde,Adj,Nf,pre-suf,antiXien,NA,X,motiv-sem,des2as
r530,antithétique,thèse,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r539,antitrinitaire,trinité,Adj,Nf,pre-suf,antiXaire,NA,X,motiv-sem,des2as
r541,antitrinitaire,trinité,Nm,Nf,pre-suf,antiXaire,NA,X,motiv-sem,des2as
r548,antivariolique,variole,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r555,antivénérien,maladie vénérienne,Adj,Nf,pre-suf,antiXien,NA,X,motiv-sem,des2as
r561,antiévangélique,Evangile,Adj,Nm,pre-suf,antiXique,NA,X,motiv-sem,des2as
r635,apolaire,pôle,Adj,Nm,pre-suf,aXaire,NA,X,motiv-sem,des2as
r785,aquatubulaire,tube,Adj,Nm,pre-suf,aquaXaire,NA,X,motiv-sem,des2as
r2414,bicapsulaire,capsule,Adj,Nf,pre-suf,biXaire,NA,X,motiv-sem,des2as
r2415,bicellulaire,cellule,Adj,Nf,pre-suf,biXaire,NA,X,motiv-sem,des2as
r2427,bicommunautaire,communauté,Adj,Nf,pre-suf,biXaire,NA,X,motiv-sem,des2as
r2461,bihebdomadaire,semaine,Nm,Nf,pre-suf,biXaire,NA,X,motiv-sem,des2as
r2480,biloculaire,loge,Adj,Nf,pre-suf,biXaire,NA,X,motiv-sem,des2as
r2536,bipulmonaire,poumon,Adj,Nm,pre-suf,biXaire,NA,X,motiv-sem,des2as
