rid,graph_1,lid_2,graph_2,cat_1,cat_2,type_cstr_1,cstr_1,type_cstr_2,cstr_2,complexite,orientation
r26172,rectorat,l307860,recteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r26173,rectoriat,l307860,recteur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r26293,registrariat,l309308,registraire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r26304,regrat,l309421,regratter,Nm,V,conv,X,NA,X,simple,des2as
r26458,remplaçanat,l310605,remplaçant,Nm,Nm,suf,Xat,NA,X,simple,des2as
r26611,renégat,l311002,renier,Nm,V,conv,X,NA,X,simple,des2as
r26679,repreneuriat,l311814,repreneur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r26717,requinat,l312095,requin,Nm,Nm,suf,Xat,NA,X,simple,des2as
r26956,rhingraviat,l314078,rhingrave,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r27125,robotariat,l315671,robot,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r27507,réactionnairiat,l319261,réactionnaire,Nm,Adj,suf,Xat,NA,X,simple,des2as
r27508,réactionnairiat,l319263,réactionnaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r27509,réactionnariat,l319261,réactionnaire,Nm,Adj,suf,Xat,NA,X,simple,des2as
r27510,réactionnariat,l319263,réactionnaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r27570,réceptorat,l307064,receveur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r27662,rédactorat,l320071,rédacteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r27726,réfractariat,l320656,réfractaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r27756,référendariat,l320709,référendaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r27768,régendat,l320756,régent,Nm,Nm,suf,Xat,NA,X,simple,des2as
r27770,régentat,l320756,régent,Nm,Nm,suf,Xat,NA,X,simple,des2as
r27777,régissariat,l320812,régisseur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r27961,répétitorat,l321608,répétiteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r27982,résidanat,l321660,résident,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28009,résultat,l321789,résulter,Nm,V,conv,X,NA,X,simple,des2as
r28122,révolutionnariat,l322185,révolutionnaire,Nm,Adj,suf,Xat,NA,X,simple,des2as
r28123,révolutionnariat,l322187,révolutionnaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28241,sacerdotat,l298687,prêtre,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28258,sacristanat,l322951,sacristain,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28336,salopariat,l327624,salope,Nm,Nf,suf,Xariat,NA,X,simple,des2as
r28381,sangiacat,l328324,sangiac,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28445,sarkonnat,l75336,Sarko,Nm,Npm,suf,Xat,NA,X,simple,des2as
r28447,sarkozynat,l75339,Sarkozy,Nm,Npm,suf,Xat,NA,X,simple,des2as
r28479,satrapat,l329565,satrape,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28574,scabinat,l375901,échevin,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28619,scholariat,l376287,écolier,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r28652,scolariat,l376281,école,Nm,Nf,suf,Xariat,NA,X,motiv-sem,des2as
r28653,scolariat,l376281,école,Nm,Nf,suf,Xariat,NA,X,simple,des2as
r28656,scolasticat,l331389,scolastique,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28666,scribariat,l331584,scribe,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r28667,scribat,l331584,scribe,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28674,scriptorat,l331618,scriptor,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28700,sdfariat,l69121,SDF,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r28705,secondariat,l331826,secondaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28722,secrétairariat,l331879,secrétaire,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r28723,secrétairat,l331879,secrétaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28726,secrétairiat,l331879,secrétaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28727,secrétariat,l331879,secrétaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
