rid,graph_1,lid_2,graph_2,cat_1,cat_2,type_cstr_1,cstr_1,type_cstr_2,cstr_2,complexite,orientation
r32893,vicinat,l369230,voisin,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32897,victimariat,l365927,victime,Nm,Nf,suf,Xariat,NA,X,simple,des2as
r32898,victimat,l365927,victime,Nm,Nf,suf,Xat,NA,X,simple,des2as
r32913,vidorat,l366027,videur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32928,vigariat,l366563,viguier,Nm,Nm,suf,Xariat,NA,X,accidentel,des2as
r32929,vigilat,l366457,vigile,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32930,vigintisexvirat,l383311,vigintisexviri,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32931,vigintivirat,l366460,vigintivir,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32937,viguariat,l366563,viguier,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32938,viguerat,l366563,viguier,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32939,vilayat,l362170,vali,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32963,vingtenariat,l367971,vingtenaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33023,viriarcat,l368324,viriarque,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33049,visionnariat,l359253,téléspectateur,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r33062,visitariat,l368570,visiteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33071,visitorat,l368570,visiteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33072,visitoriat,l368570,visiteur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r33127,vizirat,l369009,vizir,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33129,viziriat,l369009,vizir,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r33162,voisinat,l369230,voisin,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33201,volontairariat,l369411,volontaire,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r33202,volontairat,l369411,volontaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33205,volontairiat,l369411,volontaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33206,volontariat,l369411,volontaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33268,voïevodat,l383317,voïevode,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33269,voïvodat,l369921,voïvode,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33322,vénérabilat,l370420,vénérable,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33323,vénérablat,l370420,vénérable,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33351,vétéranat,l370698,vétéran,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33353,vétérinariat,l370704,vétérinaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33363,webmastariat,l371486,webmaster,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r33364,webmastariat,l371486,webmaster,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r33365,webmasterat,l371486,webmaster,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33366,webmastorat,l371486,webmaster,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33367,webmastorat,l371486,webmaster,Nm,Nm,suf,Xorat,NA,X,simple,des2as
r33368,webmastoriat,l371486,webmaster,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r33369,webmastoriat,l371486,webmaster,Nm,Nm,suf,Xoriat,NA,X,simple,des2as
r33370,webmastérariat,l371486,webmaster,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r33371,webmastérat,l371486,webmaster,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33372,webmastériat,l371486,webmaster,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r33373,webmestrat,l371495,webmestre,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33374,webmestriat,l371495,webmestre,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r33376,weborat,l88283,Web,Nm,Nm,suf,Xorat,NA,X,simple,des2as
r33377,webzinat,l371510,webzine,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33381,wilayat,l370960,wali,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33422,zemindarat,l383323,zemindar,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33521,ébat,l375288,ébattre,Nm,V,conv,X,conv,X,simple,NA
r33686,échevinat,l375901,échevin,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33719,éclat,l376106,éclater,Nm,V,conv,X,conv,X,simple,NA
r33736,éco-volontariat,l382918,éco-volontaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33750,économat,l376331,économe,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33820,écovolontariat,l376572,écovolontaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33903,édilat,l376890,édile,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33912,éditorat,l376904,éditeur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33913,éditoriat,l376904,éditeur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r33922,éducatorat,l376940,éducateur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r34024,électerat,l377442,électeur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r34027,électeurat,l377442,électeur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r34030,électorat,l377442,électeur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r34090,élitariat,l382929,élite,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r34091,élitat,l382929,élite,Nm,Nm,suf,Xat,NA,X,simple,des2as
r34093,élitorat,l382929,élite,Nm,Nm,suf,Xorat,NA,X,simple,des2as
r34118,élémosinariat,l377954,élémosinaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r34161,émirat,l378152,émir,Nm,Nm,suf,Xat,NA,X,simple,des2as
r34209,éméritat,l382932,émérite,Nm,Nm,suf,Xat,NA,X,simple,des2as
r34217,énerguménat,l378394,énergumène,Nm,Nm,suf,Xat,NA,X,simple,des2as
r34318,éphorat,l378782,éphore,Nm,Nm,suf,Xat,NA,X,simple,des2as
r34319,éphébat,l378789,éphèbe,Nm,Nm,suf,Xat,NA,X,simple,des2as
r34323,éphémérat,l378807,éphémère,Nm,Adj,suf,Xat,NA,X,simple,des2as
r34411,épiscopat,l381298,évêque,Nm,Nm,suf,Xat,NA,X,simple,des2as
r34419,épistolariat,l379306,épistolier,Nm,Nm,suf,Xat,NA,X,simple,des2as
r34420,épistolat,l237926,lettre,Nm,Nf,suf,Xat,NA,X,simple,des2as
r34464,éponymat,l379469,éponyme,Nm,Nm,suf,Xat,NA,X,simple,des2as
r34758,étudianat,l380901,étudiant,Nm,Nm,suf,Xat,NA,X,simple,des2as
r34759,étudiantat,l380901,étudiant,Nm,Nm,suf,Xat,NA,X,simple,des2as
r35066,capel(l)anat,l146141,chapelain,Nm,Nm,suf,Xat,NA,X,simple,des2as
r35150,cuisinariat,l166414,cuisine,Nm,Nf,suf,Xariat,NA,X,simple,des2as
r35344,hiérodulat,l216588,hiérodule,Nm,Nm,suf,Xat,NA,X,simple,des2as
r35593,questorat,l302967,questeur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r35700,suzerainat,l344111,suzerain,Nm,Nm,suf,Xat,NA,X,simple,des2as
r36174,SDFat,l69121,SDF,Nm,Nm,suf,Xat,NA,X,simple,des2as
r36278,abat,l89439,abattre,Nm,V,conv,X,conv,X,simple,NA
r36290,abbatiat,l89493,abbé,Nm,Nm,suf,Xat,NA,X,simple,des2as
r36348,aborigénat,l89831,aborigène,Nm,Nm,suf,Xat,NA,X,simple,des2as
r36507,accommodat,l90599,accommoder,Nm,V,conv,X,NA,X,simple,des2as
r36633,achat,l90937,acheter,Nm,V,conv,X,NA,X,simple,des2as
r36638,achetorat,l90938,acheteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r36670,acolytat,l91339,acolyte,Nm,Nm,suf,Xat,NA,X,simple,des2as
r36706,acteurariat,l91619,acteur,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r36707,acteurat,l91619,acteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r36715,actionnairat,l91692,actionnaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r36718,actionnairiat,l91692,actionnaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r36719,actionnariat,l91692,actionnaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r36727,actorat,l91619,acteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r36728,actoriat,l91619,acteur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r36736,actuariat,l91744,actuaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r36781,adelphat,l200017,frère,Nm,Nm,suf,Xat,NA,X,simple,des2as
r36783,adeptat,l92068,adepte,Nm,Nm,suf,Xat,NA,X,simple,des2as
r36784,adhéranat,l92090,adhérent,Nm,Nm,suf,Xat,NA,X,simple,des2as
r36797,adjudanat,l92190,adjudant,Nm,Nm,suf,Xat,NA,X,simple,des2as
r36810,adjuvat,l93992,aider,Nm,V,conv,X,NA,X,simple,des2as
r36811,adjuvat,l93971,aide,Nm,Nm,suf,Xat,NA,X,simple,des2as
r36824,administratoriat,l92223,administrateur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r36895,adultariat,l92451,adulte,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r36896,adultat,l92451,adulte,Nm,Nm,suf,Xat,NA,X,simple,des2as
r36897,adultorat,l92451,adulte,Nm,Nm,suf,Xorat,NA,X,simple,des2as
r36898,adultérat,l92451,adulte,Nm,Nm,suf,Xérat,NA,X,complexe,des2as
r36899,adultérat,l92464,adultère,Nm,Adj,suf,Xat,NA,X,simple,des2as
r36910,adversariat,l92510,adversaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r37071,agglomérat,l93315,agglomérer,Nm,V,conv,X,NA,X,simple,des2as
r37164,agrégat,l93811,agréger,Nm,V,conv,X,NA,X,simple,des2as
r37279,alcadat,l95088,alcade,Nm,Nm,suf,Xat,NA,X,simple,des2as
r37466,alternat,l96649,alterner,Nm,V,conv,X,NA,X,simple,des2as
r37498,alumnat,l377908,élève,Nm,Nm,suf,Xat,NA,X,simple,des2as
r37553,amateurat,l97177,amateur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r37554,amateuriat,l97177,amateur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r37555,amatorat,l97177,amateur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r37556,amatoriat,l97177,amateur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r37558,amazonat,l97214,amazone,Nm,Nf,suf,Xat,NA,X,simple,des2as
r37560,ambassadorat,l97251,ambassadeur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r37592,amiralat,l97714,amiral,Nm,Nm,suf,Xat,NA,X,simple,des2as
r37594,amitat,l347112,tante,Nm,Nf,suf,Xat,NA,X,simple,des2as
r37596,ammanat,l97749,amman,Nm,Nm,suf,Xat,NA,X,simple,des2as
r37640,amphictyonat,l98005,amphictyon,Nm,Nm,suf,Xat,NA,X,simple,des2as
r37746,ancianat,l98805,ancien,Nm,Nm,suf,Xat,NA,X,simple,des2as
r37747,anciennat,l98805,ancien,Nm,Nm,suf,Xat,NA,X,simple,des2as
r37754,androgynat,l99135,androgyne,Nm,Nm,suf,Xat,NA,X,simple,des2as
r37796,angélicat,l99305,ange,Nm,Nm,suf,Xicat,NA,X,motiv-sem,des2as
r37797,angélicat,l99759,angélique,Nm,Adj,suf,Xat,NA,X,simple,des2as
r37811,animatorat,l99882,animateur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r37812,animatoriat,l99882,animateur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r39161,auvergnat,l5260,Auvergne,Adj,Npx,suf,Xat,NA,X,simple,des2as
r57429,méplat,l288776,plat,Adj,Adj,pre,méX,NA,X,simple,des2as
r62453,rouergat,l68246,Rouergue,Adj,Npx,suf,Xat,NA,X,simple,des2as
r60005,plagiat,l288235,plagiaste,Nm,Nm,suf,Xat,suf,Xaste,simple,indirect
r72687,auvergnat,l111740,auvergniste,Adj,Nf,suf,Xat,suf,Xiste,simple,indirect
r72688,auvergnat,l111740,auvergniste,Nm,Nf,suf,Xat,suf,Xiste,simple,indirect
r74100,juvénat,l231248,juvéniste,Nm,Nf,suf,Xat,suf,Xiste,simple,indirect
r74905,plagiat,l288250,plagiste,Nf,Nf,suf,Xat,suf,Xiste,simple,indirect
r76821,pugilat,l299391,pugiliste,Nm,Nm,NA,X,suf,Xiste,simple,indirect
