lid,graphie,cat,Annotations ontologiques
l50778,Mattaincourt,Npx,Institution
l50814,Maud,Npf,Person
l50882,Maure,Nf,Animal;Object;Person
l50886,Maurecourtois,Nm,Person
l50887,Maurecourtoise,Nf,Person
l50922,Maureville,Npx,Institution
l50923,Maurevillois,Nm,Person
l50924,Maurevilloise,Nf,Person
l50929,Mauricette,Npf,Person
l50984,Maussane-les-Alpilles,Npx,Institution
l51042,Maxéville,Npx,Institution
l51043,Maxévillois,Nm,Person
l51044,Maxévilloise,Nf,Person
l51080,Mayrevillais,Nm,Person
l51081,Mayrevillaise,Nf,Person
l51082,Mayreville,Npx,Institution
l51131,Mazerolles-du-Razès,Npx,Institution
l51132,Mazerolles-le-Salin,Npx,Institution
l51230,McMasterville,Npx,Institution
l51231,McMastervillois,Nm,Person
l51366,Melincourtois,Nm,Person
l51367,Melincourtoise,Nf,Person
l51392,Melleville,Npx,Institution
l51393,Mellevillois,Nm,Person
l51394,Mellevilloise,Nf,Person
l51404,Melocheville,Npx,Institution
l51405,Melochevillois,Nm,Person
l51415,Melville,Npx,Institution
l51450,Menesquevillais,Nm,Person
l51451,Menesquevillaise,Nf,Person
l51478,Menneville,Npx,Institution
l51479,Mennevillois,Nm,Person
l51480,Mennevilloise,Nf,Person
l51491,Menoncourtois,Nm,Person
l51492,Menoncourtoise,Nf,Person
l51498,Menouville,Npx,Institution
l51499,Menouvillois,Nm,Person
l51500,Menouvilloise,Nf,Person
l51509,Menthevillais,Nm,Person
l51510,Menthevillaise,Nf,Person
l51511,Mentheville,Npx,Institution
l51515,Menthonnex-sous-Clermont,Npx,Institution
l51525,Menucourtois,Nm,Person
l51526,Menucourtoise,Nf,Person
l51527,Menville,Npx,Institution
l51528,Menvillois,Nm,Person
l51529,Menvilloise,Nf,Person
l51537,Merbes-le-Château,Npx,Institution
l51546,Mercer,Npx,Person
l51618,Merles-sur-Loison,Npx,Institution
l51674,Merville,Npx,Institution
l51676,Mervillois,Nm,Person
l51677,Mervilloise,Nf,Person
l51687,Mesbrecourtois,Nm,Person
l51688,Mesbrecourtoise,Nf,Person
l51748,Mesnil-Pannevillais,Nm,Person
l51749,Mesnil-Pannevillaise,Nf,Person
l51750,Mesnil-Panneville,Npx,Institution
l51778,Mesnil-sous-Vienne,Npx,Institution
l51854,Messincourtien,Nm,Person
l51855,Messincourtienne,Nf,Person
l51952,Meurville,Npx,Institution
l51954,Meusien,Nm,Person
l52092,Midi,Nm,Time
l52149,Mignéville,Npx,Institution
l52150,Mignévillois,Nm,Person
l52151,Mignévilloise,Nf,Person
l52168,Milanais,Nm,Person
l52191,Milieu,Nm,Artifact;Cognition;Institution;Part;Person;Quantity;Substance
l52223,Millencourtois,Nm,Person
l52224,Millencourtoise,Nf,Person
l52236,Millier,Npx,Quantity
l52305,Miniac-sous-Bécherel,Npx,Institution
l52319,Minorville,Npx,Institution
l52320,Minorvillois,Nm,Person
l52321,Minorvilloise,Nf,Person
l52422,Mirecurtien,Nm,Person
l52448,Miribel-les-Echelles,Npx,Institution
l52464,Mirvillais,Nm,Person
l52465,Mirvillaise,Nf,Person
l52466,Mirville,Npx,Institution
l52542,Mittainville,Npx,Institution
l52544,Mittainvillois,Nm,Person
l52545,Mittainvilloise,Nf,Person
l52621,Mogneville,Npx,Institution
l52622,Mognéville,Npx,Institution
l52623,Mognévillois,Nm,Person
l52624,Mognévilloise,Nf,Person
l52636,Mohiville,Npx,Institution
l52637,Mohivillois,Nm,Person
l52638,Mohivilloise,Nf,Person
l52704,Moisville,Npx,Institution
l52705,Moisvillois,Nm,Person
l52706,Moisvilloise,Nf,Person
l52786,Molitg-les-Bains,Npx,Institution
l52816,Molleville,Npx,Institution
l52949,Moncel-lès-Lunéville,Npx,Institution
l52971,Monchecourtois,Nm,Person
l52972,Monchecourtoise,Nf,Person
l53006,Moncourt-Fromonville,Npx,Institution
l53007,Moncourtois,Nm,Person
l53008,Moncourtoise,Nf,Person
l53036,Mondevillais,Nm,Person
l53037,Mondevillaise,Nf,Person
l53038,Mondeville,Npx,Institution
l53050,Mondonville,Npx,Institution
l53052,Mondonvillois,Nm,Person
l53053,Mondonvilloise,Nf,Person
l53066,Mondrainvillais,Nm,Person
l53067,Mondrainvillaise,Nf,Person
l53068,Mondrainville,Npx,Institution
l53072,Mondreville,Npx,Institution
l53073,Mondrevillois,Nm,Person
l53074,Mondrevilloise,Nf,Person
l53102,Monfarvillais,Nm,Person
l53103,Monfarvillaise,Nf,Person
l53115,Monfrévillais,Nm,Person
l53116,Monfrévillaise,Nf,Person
l53117,Monfréville,Npx,Institution
l53126,Mongol,Nm,Person
l53128,Mongolie,Npx,Institution
l53159,Monnerville,Npx,Institution
l53160,Monnervillois,Nm,Person
l53161,Monnervilloise,Nf,Person
l53162,Monnevillais,Nm,Person
l53163,Monnevillaise,Nf,Person
l53164,Monneville,Npx,Institution
l53241,Mont-Bonvillers,Npx,Institution
l53299,Mont-sous-Vaudrey,Npx,Institution
l53300,Mont-sur-Courville,Npx,Institution
l53338,Montagnard,Nm,Person
l53357,Montagny-les-Lanches,Npx,Institution
l53379,Montaigu-les-Bois,Npx,Institution
l53390,Montainville,Npx,Institution
l53391,Montainvillois,Nm,Person
l53392,Montainvilloise,Nf,Person
l53395,Montalba-le-Château,Npx,Institution
l53462,Montarvillois,Nm,Person
l53506,Montaut-les-Créneaux,Npx,Institution
l53512,Montauville,Npx,Institution
l53513,Montauvillois,Nm,Person
l53514,Montauvilloise,Nf,Person
l53564,Montblainville,Npx,Institution
l53565,Montblainvillois,Nm,Person
l53566,Montblainvilloise,Nf,Person
l53614,Montbrun-les-Bains,Npx,Institution
l53642,Montceau-les-Mines,Npx,Institution
l53702,Montcombroux-les-Mines,Npx,Institution
l53712,Montcourt-Fromonville,Npx,Institution
l53785,Montenescourtois,Nm,Person
l53786,Montenescourtoise,Nf,Person
l53822,Montescourtois,Nm,Person
l53823,Montescourtoise,Nf,Person
l53864,Montfarville,Npx,Institution
l53884,Montferrand-le-Château,Npx,Institution
l54015,Montharville,Npx,Institution
l54016,Montharvillois,Nm,Person
l54017,Montharvilloise,Nf,Person
l54125,Montigny-les-Jongleurs,Npx,Institution
l54126,Montigny-les-Monts,Npx,Institution
l54180,Montivillais,Nm,Person
l54181,Montivillaise,Nf,Person
l54347,Montmirey-la-Ville,Npx,Institution
l54348,Montmirey-le-Château,Npx,Institution
l54424,Montoy-Flanville,Npx,Institution
l54449,Montpezat-sous-Bauzon,Npx,Institution
l54518,Montreuil-sous-Bois,Npx,Institution
l54519,Montreuil-sous-Pérouse,Npx,Institution
l54569,Montrond-le-Château,Npx,Institution
l54570,Montrond-les-Bains,Npx,Institution
l54594,Montréal-les-Sources,Npx,Institution
l54601,Montrécourtois,Nm,Person
l54602,Montrécourtoise,Nf,Person
l54629,Montsauche-les-Settons,Npx,Institution
l54701,Montville,Npx,Institution
l54708,Montzéville,Npx,Institution
l54709,Montzévillois,Nm,Person
l54710,Montzévilloise,Nf,Person
l54763,Montévillois,Nm,Person
l54764,Montévilloise,Nf,Person
l54809,Morainvillais,Nm,Person
l54810,Morainvillaise,Nf,Person
l54811,Morainville,Npx,Institution
l54814,Morainvillois,Nm,Person
l54815,Morainvilloise,Nf,Person
l54829,Moranville,Npx,Institution
l54830,Moranvillois,Nm,Person
l54831,Moranvilloise,Nf,Person
l54857,Morcourtois,Nm,Person
l54858,Morcourtoise,Nf,Person
l54944,Morionvillois,Nm,Person
l54945,Morionvilloise,Nf,Person
l54950,Moriville,Npx,Institution
l54972,Morlancourtois,Nm,Person
l54973,Morlancourtoise,Nf,Person
l55061,Morsbronn-les-Bains,Npx,Institution
l55119,Morvandivillerois,Nm,Person
l55120,Morvandivilleroise,Nf,Person
l55128,Morvillais,Nm,Person
l55129,Morvillaise,Nf,Person
l55131,Morville,Npx,Institution
l55138,Morvillois,Nm,Person
l55139,Morvilloise,Nf,Person
l55193,Motacapdevillois,Nm,Person
l55194,Motacapdevilloise,Nf,Person
l55218,Mottevillais,Nm,Person
l55219,Mottevillaise,Nf,Person
l55220,Motteville,Npx,Institution
l55239,Mouaville,Npx,Institution
l55252,Moucheron,Nm,Animal;Person
l55340,Moulins-sous-Fléron,Npx,Institution
l55381,Mourcourtois,Nm,Person
l55382,Mourcourtoise,Nf,Person
l55418,Mourvilles-Basses,Npx,Institution
l55419,Mourvilles-Hautes,Npx,Institution
l55420,Mourvillois,Nm,Person
l55421,Mourvilloise,Nf,Person
l55528,Moutiers-les-Mauxfaits,Npx,Institution
l55529,Moutiers-sous-Argenton,Npx,Institution
l55530,Moutiers-sous-Chantemerle,Npx,Institution
l55538,Mouton,Npx,Animal;Food;Person;Substance
l55594,Moyen-Orient,Npx,Artifact
l55598,Moyencourtois,Nm,Person
l55599,Moyencourtoise,Nf,Person
l55601,Moyenneville,Npx,Institution
l55602,Moyennevillois,Nm,Person
l55603,Moyennevilloise,Nf,Person
l55610,Moyvillers,Npx,Institution
l55674,Muirancourtois,Nm,Person
l55675,Muirancourtoise,Nf,Person
l55721,Munevillais,Nm,Person
l55722,Munevillaise,Nf,Person
l55754,Murdochville,Npx,Institution
l55765,Muret-le-Château,Npx,Institution
l55781,Muriel,Npf,Person
l55815,Murville,Npx,Institution
l55816,Murvillois,Nm,Person
l55817,Murvilloise,Nf,Person
l55861,Mussy-la-Ville,Npx,Institution
l55862,Mussy-sous-Dun,Npx,Institution
l55941,Mère,Nf,Person;Substance
l55996,Médonville,Npx,Institution
l56063,Mélicourtois,Nm,Person
l56064,Mélicourtoise,Nf,Person
l56090,Ménerville,Npx,Institution
l56091,Ménervillois,Nm,Person
l56092,Ménervilloise,Nf,Person
l56097,Ménesqueville,Npx,Institution
l56161,Ménétréols-sous-Vatan,Npx,Institution
l56176,Méphistophélès,Npx,Person
l56187,Mérens-les-Vals,Npx,Institution
l56194,Mérey-sous-Montrond,Npx,Institution
l56200,Méricourtois,Nm,Person
l56201,Méricourtoise,Nf,Person
l56234,Mérindol-les-Oliviers,Npx,Institution
l56239,Mérinville,Npx,Institution
l56240,Mérinvillois,Nm,Person
l56241,Mérinvilloise,Nf,Person
l56257,Mérouville,Npx,Institution
l56258,Mérouvillois,Nm,Person
l56259,Mérouvilloise,Nf,Person
l56289,Méréville,Npx,Institution
l56290,Mérévillois,Nm,Person
l56291,Mérévilloise,Nf,Person
l56295,Mésangueville,Npx,Institution
l56296,Mésanguevillois,Nm,Person
l56297,Mésanguevilloise,Nf,Person
l56354,Mézervillais,Nm,Person
l56355,Mézervillaise,Nf,Person
l56356,Mézerville,Npx,Institution
l56382,Mézières-sous-Lavardin,Npx,Institution
l56423,N,Nf,Communication;Quantity
l56459,NON,Nm,Act;Cognition
l56564,Nainville-les-Roches,Npx,Institution
l56565,Nainvillois,Nm,Person
l56566,Nainvilloise,Nf,Person
l56611,Nan-sous-Thil,Npx,Institution
l56645,Nangeville,Npx,Institution
l56646,Nangevillois,Nm,Person
l56647,Nangevilloise,Nf,Person
l56663,Nans-les-Pins,Npx,Institution
l56664,Nans-sous-Sainte-Anne,Npx,Institution
l56740,Napierville,Npx,Institution
l56741,Napiervillois,Nm,Person
l56755,Narcisse,Npx,Person
l56776,Nashville,Npx,Institution
l56794,Nation,Nf,Institution
l56803,Nature,Nf,Attribute;Communication;GroupxEntity
l56840,Navailles-Angos,Npx,Institution
l56859,Navillois,Nm,Person
l56860,Navilloise,Nf,Person
l56877,Nayemont-les-Fosses,Npx,Institution
l56894,Nazelles-Négron,Npx,Institution
l56906,Neaufles-Auvergny,Npx,Institution
l56907,Neaufles-Saint-Martin,Npx,Institution
l56911,Neauphle-le-Château,Npx,Institution
l56982,Nervillois,Nm,Person
l56983,Nervilloise,Nf,Person
l56997,Nesles-la-Montagne,Npx,Institution
l56998,Nesles-la-Vallée,Npx,Institution
l57019,Net,Nm,Communication
l57027,Nettancourtois,Nm,Person
l57028,Nettancourtoise,Nf,Person
l57086,Neufvillois,Nm,Person
l57087,Neufvilloise,Nf,Person
l57096,Neuillay-les-Bois,Npx,Institution
l57114,Neuilly-sous-Clermont,Npx,Institution
l57141,Neunkirchen-lès-Bouzonville,Npx,Institution
l57182,Neuvicq-le-Château,Npx,Institution
l57187,Neuvillais,Nm,Person
l57188,Neuvillaise,Nf,Person
l57191,Neuville,Npx,Institution
l57210,Neuville-les-Dames,Npx,Institution
l57215,Neuville-sous-Montreuil,Npx,Institution
l57229,Neuvillerois,Nm,Person
l57230,Neuvilleroise,Nf,Person
l57236,Neuvillois,Nm,Person
l57237,Neuvilloise,Nf,Person
l57360,Nidervillois,Nm,Person
l57361,Nidervilloise,Nf,Person
l57362,Niederbronn-les-Bains,Npx,Institution
l57396,Nielles-lès-Ardres,Npx,Institution
l57397,Nielles-lès-Bléquin,Npx,Institution
l57398,Nielles-lès-Calais,Npx,Institution
l57461,Ninville,Npx,Institution
l57462,Ninvillois,Nm,Person
l57463,Ninvilloise,Nf,Person
l57586,Noeux-les-Mines,Npx,Institution
l57653,Noir,Nm,Attribute;Food;Person;Phenomenon
l57666,Noiron-sous-Gevrey,Npx,Institution
l57685,Noisseville,Npx,Institution
l57686,Noissevillois,Nm,Person
l57687,Noissevilloise,Nf,Person
l57730,Nomécourtois,Nm,Person
l57731,Nomécourtoise,Nf,Person
l57736,Nonancourtois,Nm,Person
l57737,Nonancourtoise,Nf,Person
l57745,Nonaville,Npx,Institution
l57746,Nonavillois,Nm,Person
l57747,Nonavilloise,Nf,Person
l57749,Noncourtois,Nm,Person
l57750,Noncourtoise,Nf,Person
l57763,Nonville,Npx,Institution
l57765,Nonvillois,Nm,Person
l57766,Nonvilloise,Nf,Person
l57770,Nonzeville,Npx,Institution
l57771,Nonzevillois,Nm,Person
l57772,Nonzevilloise,Nf,Person
l57781,Norbertville,Npx,Institution
l57782,Norbertvillois,Nm,Person
l57784,Nord-Africain,Nm,Person
l57791,Nord-Est,Nm,Part
l57794,Nord-Ouest,Nm,Part
l57818,Nordiste,Nf,Person
l57827,Norges-la-Ville,Npx,Institution
l57835,Normanvillais,Nm,Person
l57836,Normanvillaise,Nf,Person
l57837,Normanville,Npx,Institution
l57870,Norvillais,Nm,Person
l57871,Norvillaise,Nf,Person
l57872,Norville,Npx,Institution
l57873,Norvillois,Nm,Person
l57874,Norvilloise,Nf,Person
l57901,Notre-Dame,Nf,Artifact;Person
l57910,Notre-Dame-de-Bondeville,Npx,Institution
l57921,Notre-Dame-de-Pierreville,Npx,Institution
l57960,Nottonville,Npx,Institution
l57961,Nottonvillois,Nm,Person
l57962,Nottonvilloise,Nf,Person
l57966,Nouainvillais,Nm,Person
l57967,Nouainvillaise,Nf,Person
l57968,Nouainville,Npx,Institution
l57974,Nouans-les-Fontaines,Npx,Institution
l57999,Nouristan,Npx,Institution
l58009,Noussevillerois,Nm,Person
l58010,Noussevilleroise,Nf,Person
l58019,Nouvelle Zélande,Npx,Institution
l58024,Nouvelle-Zélande,Npx,Institution
l58026,Nouvelles-Hébrides,Npx,Institution
l58054,Nouzonville,Npx,Institution
l58108,Noville,Npx,Institution
l58109,Noville-les-Bois,Npx,Institution
l58112,Novillois,Nm,Person
l58113,Novilloise,Nf,Person
l58132,Noyal-sous-Bazouges,Npx,Institution
l58153,Noyelles-Godault,Npx,Institution
l58154,Noyelles-en-Chaussée,Npx,Institution
l58155,Noyelles-lès-Humières,Npx,Institution
l58156,Noyelles-lès-Seclin,Npx,Institution
l58157,Noyelles-lès-Vermelles,Npx,Institution
l58158,Noyelles-sous-Bellonne,Npx,Institution
l58159,Noyelles-sous-Lens,Npx,Institution
l58160,Noyelles-sur-Escaut,Npx,Institution
l58161,Noyelles-sur-Mer,Npx,Institution
l58162,Noyelles-sur-Sambre,Npx,Institution
l58163,Noyelles-sur-Selle,Npx,Institution
l58232,Nucourtois,Nm,Person
l58233,Nucourtoise,Nf,Person
l58238,Nueil-les-Aubiers,Npx,Institution
l58281,Nurestan,Npx,Institution
l58283,Nuristan,Npx,Institution
l58360,Négreville,Npx,Institution
l58442,Néris-les-Bains,Npx,Institution
l58471,Névillais,Nm,Person
l58472,Névillaise,Nf,Person
l58473,Néville,Npx,Institution
l58507,ONG,Nf,Institution
l58524,OS,Nf,Body;Event
l58609,Obsonville,Npx,Institution
l58610,Obsonvillois,Nm,Person
l58611,Obsonvilloise,Nf,Person
l58628,Occupation,Nf,Act;State
l58633,Ochancourtois,Nm,Person
l58634,Ochancourtoise,Nf,Person
l58644,Ocquevillais,Nm,Person
l58645,Ocquevillaise,Nf,Person
l58646,Ocqueville,Npx,Institution
l58655,Octevillais,Nm,Person
l58680,Odet,Npf,Person
l58681,Odette,Npf,Person
l58734,Offranvillais,Nm,Person
l58735,Offranvillaise,Nf,Person
l58736,Offranville,Npx,Institution
l58749,Ogeu-les-Bains,Npx,Institution
l58769,Ogévillois,Nm,Person
l58770,Ogévilloise,Nf,Person
l58774,Ohervillais,Nm,Person
l58775,Ohervillaise,Nf,Person
l58776,Oherville,Npx,Institution
l58804,Oinville-sous-Auneau,Npx,Institution
l58806,Oinvillois,Nm,Person
l58807,Oinvilloise,Nf,Person
l58820,Oisillon,Nm,Animal
l58893,Ollainville,Npx,Institution
l58894,Ollainvillois,Nm,Person
l58895,Ollainvilloise,Nf,Person
l58954,Olympe,Npx,Object
l58976,Omencourtois,Nm,Person
l58977,Omencourtoise,Nf,Person
l58980,Omerville,Npx,Institution
l58981,Omervillois,Nm,Person
l58982,Omervilloise,Nf,Person
l58995,Omonvillais,Nm,Person
l58996,Omonvillaise,Nf,Person
l58997,Omonville,Npx,Institution
l59005,Omécourtois,Nm,Person
l59006,Omécourtoise,Nf,Person
l59023,Oncourtois,Nm,Person
l59024,Oncourtoise,Nf,Person
l59041,Onet-le-Château,Npx,Institution
l59072,Onville,Npx,Institution
l59073,Onvillois,Nm,Person
l59074,Onvilloise,Nf,Person
l59125,Orainville,Npx,Institution
l59126,Orainvillois,Nm,Person
l59127,Orainvilloise,Nf,Person
l59364,Ormoy-Villers,Npx,Institution
l59387,Ornolac-Ussat-les-Bains,Npx,Institution
l59403,Oron-la-Ville,Npx,Institution
l59422,Orphée,Npx,Person
l59437,Orry-la-Ville,Npx,Institution
l59462,Orsonville,Npx,Institution
l59463,Orsonvillois,Nm,Person
l59464,Orsonvilloise,Nf,Person
l59506,Orville,Npx,Institution
l59508,Orvillois,Nm,Person
l59509,Orvilloise,Nf,Person
l59538,Osmanvillais,Nm,Person
l59539,Osmanvillaise,Nf,Person
l59540,Osmanville,Npx,Institution
l59607,Ostreville,Npx,Institution
l59608,Ostrevillois,Nm,Person
l59609,Ostrevilloise,Nf,Person
l59611,Ostricourtois,Nm,Person
l59612,Ostricourtoise,Nf,Person
l59661,Ouagavillois,Nm,Person
l59663,Ouainville,Npx,Institution
l59675,Ouche,Nf,Artifact
l59697,Oudincourtois,Nm,Person
l59698,Oudincourtoise,Nf,Person
l59748,Oulchy-le-Château,Npx,Institution
l59749,Oulens-sous-Echallens,Npx,Institution
l59785,Ourouer-les-Bourdelins,Npx,Institution
l59789,Ouroux-sous-le-Bois-Sainte-Marie,Npx,Institution
l59803,Ourvillais,Nm,Person
l59804,Ourvillaise,Nf,Person
l59831,Outarville,Npx,Institution
l59832,Outarvillois,Nm,Person
l59833,Outarvilloise,Nf,Person
l59858,Ouvillais,Nm,Person
l59859,Ouvillaise,Nf,Person
l59860,Ouville,Npx,Institution
l59864,Ouvrouer-les-Champs,Npx,Institution
l59867,Ouzbekistan,Npx,Institution
l59869,Ouzbékistan,Npx,Institution
l59874,Ouzouer-sous-Bellegarde,Npx,Institution
l59892,Ovillois,Nm,Person
l59893,Ovilloise,Nf,Person
l59924,Oysonville,Npx,Institution
l59925,Oysonvillois,Nm,Person
l59926,Oysonvilloise,Nf,Person
l59935,Ozevillais,Nm,Person
l59936,Ozevillaise,Nf,Person
l59937,Ozeville,Npx,Institution
l59968,Oëlleville,Npx,Institution
l60020,PDG,Nf,Person
l60021,PDG,Nm,Person
l60082,PRO,Nm,Person
l60113,Pachtounistan,Npx,Institution
l60176,Pagny-la-Ville,Npx,Institution
l60177,Pagny-le-Château,Npx,Institution
l60195,Paillencourtois,Nm,Person
l60196,Paillencourtoise,Nf,Person
l60233,Pakistan,Npx,Institution
l60234,Pakistanais,Nm,Person
l60270,Palavas-les-Flots,Npx,Institution
l60280,Palestinien,Nm,Person
l60315,Palleville,Npx,Institution
l60316,Pallevillois,Nm,Person
l60317,Pallevilloise,Nf,Person
l60479,Pantagruel,Npx,Person
l60482,Panthère,Nf,Animal;Plant
l60505,Papineauville,Npx,Institution
l60506,Papineauvillois,Nm,Person
l60518,Paquettevillien,Nm,Person
l60547,Paray-sous-Briailles,Npx,Institution
l60607,Parey-sous-Montfort,Npx,Institution
l60637,Parigny-les-Vaux,Npx,Institution
l60646,Parigot,Nm,Person
l60650,Paris-Brest,Nm,Food
l60651,Parisien,Nm,Artifact;Person
l60657,Parisville,Npx,Institution
l60658,Parisvillois,Nm,Person
l60696,Paroissien,Nm,Person
l60703,Paros,Npx,Institution
l60726,Parthe,Npx,Person
l60737,Parvillais,Nm,Person
l60738,Parvillaise,Nf,Person
l60739,Parville,Npx,Institution
l60745,Parçay-les-Pins,Npx,Institution
l60805,Passion,Nf,Cognition;Feeling;State
l60843,Patricia,Npf,Person
l60856,Paucourt,Npx,Institution
l60857,Paucourtois,Nm,Person
l60858,Paucourtoise,Nf,Person
l60869,Paule,Npf,Person
l60871,Paulette,Npf,Person
l60917,Pautaines-Augeville,Npx,Institution
l60932,Pavillais,Nm,Person
l60933,Pavillaise,Nf,Person
l60993,Peau-Rouge,Nf,Person
l61013,Pecquencourtois,Nm,Person
l61014,Pecquencourtoise,Nf,Person
l61019,Peggy,Npf,Person
l61078,Pellouailles-les-Vignes,Npx,Institution
l61190,Perdreauville,Npx,Institution
l61191,Perdreauvillois,Nm,Person
l61192,Perdreauvilloise,Nf,Person
l61210,Perles-et-Castelet,Npx,Institution
l61211,Perlette,Npf,Person
l61230,Pernes-les-Fontaines,Npx,Institution
l61233,Pernette,Npf,Person
l61257,Perrecy-les-Forges,Npx,Institution
l61268,Perrette,Npf,Person
l61334,Perse,Npx,Institution;Person
l61349,Perséphone,Npx,Person
l61376,Perville,Npx,Institution
l61377,Pervillois,Nm,Person
l61378,Pervilloise,Nf,Person
l61437,Petit-Bourgeois,Nm,Person
l61491,Petivillais,Nm,Person
l61492,Petivillaise,Nf,Person
l61493,Petiville,Npx,Institution
l61502,Pettoncourtois,Nm,Person
l61503,Pettoncourtoise,Nf,Person
l61551,Peyrat-le-Château,Npx,Institution
l61628,Peyrolles-en-Provence,Npx,Institution
l61711,Pharisien,Npx,Person
l61725,Philippeville,Npx,Institution
l61789,Picauvillais,Nm,Person
l61790,Picauvillaise,Nf,Person
l61791,Picauville,Npx,Institution
l61818,Picton,Nm,Food
l61829,Piencourtois,Nm,Person
l61830,Piencourtoise,Nf,Person
l61834,Piennes-Onvillers,Npx,Institution
l61844,Pierre,Npm,Object;Substance
l61864,Pierrecourtais,Nm,Person
l61865,Pierrecourtaise,Nf,Person
l61866,Pierrecourtois,Nm,Person
l61867,Pierrecourtoise,Nf,Person
l61894,Pierrefontaine-les-Varans,Npx,Institution
l61928,Pierrette,Npf,Person
l61934,Pierrevillais,Nm,Person
l61935,Pierrevillaise,Nf,Person
l61936,Pierreville,Npx,Institution
l61937,Pierrevillers,Npx,Institution
l61938,Pierrevillien,Nm,Person
l61939,Pierrevillois,Nm,Person
l61940,Pierrevilloise,Nf,Person
l61970,Pigeon,Nm,Animal;Person
l62006,Pilâtre de Rozier,Npx,Institution
l62084,Pintervillais,Nm,Person
l62085,Pintervillaise,Nf,Person
l62086,Pinterville,Npx,Institution
l62096,Pionne,Nf,Person
l62124,Piquette,Npx,Food
l62179,Pissy-Pôvillais,Nm,Person
l62180,Pissy-Pôvillaise,Nf,Person
l62181,Pissy-Pôville,Npx,Institution
l62290,Plainvillais,Nm,Person
l62291,Plainvillaise,Nf,Person
l62292,Plainville,Npx,Institution
l62316,Plan,Npx,Institution
l62322,Plan-les-Ouates,Npx,Institution
l62394,Plappeville,Npx,Institution
l62395,Plappevillois,Nm,Person
l62396,Plappevilloise,Nf,Person
l62410,Platon,Npx,Person
l62420,Plavillais,Nm,Person
l62421,Plavillaise,Nf,Person
l62481,Plessisville,Npx,Institution
l62482,Plessisvillois,Nm,Person
l62490,Plestan,Npx,Institution
l62491,Plestin-les-Grèves,Npx,Institution
l62538,Pleuville,Npx,Institution
l62539,Pleuvillois,Nm,Person
l62540,Pleuvilloise,Nf,Person
l62591,Plombières-les-Bains,Npx,Institution
l62856,Plume,Nf,Act;Artifact;Body;Person;Substance
l62891,Pluton,Npx,Artifact;Person;Object
l62978,Pocé-les-Bois,Npx,Institution
l63025,Poilcourtois,Nm,Person
l63026,Poilcourtoise,Nf,Person
l63043,Poilu,Nm,Person
l63086,Poinville,Npx,Institution
l63087,Poinvillois,Nm,Person
l63088,Poinvilloise,Nf,Person
l63105,Poisson,Nf,Animal;Food
l63110,Poisvillois,Nm,Person
l63111,Poisvilloise,Nf,Person
l63132,Polaincourtois,Nm,Person
l63133,Polaincourtoise,Nf,Person
l63171,Polissonne,Nf,Person
l63449,Pont-la-Ville,Npx,Institution
l63450,Pont-les-Moulinois,Nm,Institution
l63451,Pont-les-Moulinoise,Nf,Institution
l63452,Pont-les-Moulins,Npx,Institution
l63505,Pontavillois,Nm,Person
l63506,Pontavilloise,Nf,Person
l63542,Pontenx-les-Forges,Npx,Institution
l63658,Porcheville,Npx,Institution
l63659,Porchevillois,Nm,Person
l63660,Porchevilloise,Nf,Person
l63842,Potier,Nm,Person
l63861,Pouan-les-Vallées,Npx,Institution
l63896,Pougues-les-Eaux,Npx,Institution
l63914,Pouilley-les-Vignes,Npx,Institution
l63922,Pouilly-les-Nonains,Npx,Institution
l63924,Pouilly-sous-Charlieu,Npx,Institution
l63931,Pouillé-les-Côteaux,Npx,Institution
l63937,Poulainville,Npx,Institution
l64008,Pourville,Npx,Institution
l64021,Poussin,Nm,Animal;Attribute;Person
l64106,Pradelles-Cabardès,Npx,Institution
l64107,Pradelles-en-Val,Npx,Institution
l64179,Prasville,Npx,Institution
l64180,Prasvillois,Nm,Person
l64181,Prasvilloise,Nf,Person
l64259,Presles-en-Brie,Npx,Institution
l64260,Presles-et-Boves,Npx,Institution
l64261,Presles-et-Thierny,Npx,Institution
l64287,Pressigny-les-Pins,Npx,Institution
l64312,Preuseville,Npx,Institution
l64325,Prez-sous-Lafauche,Npx,Institution
l64332,Priape,Npx,Person
l64358,Princeville,Npx,Institution
l64359,Princevillois,Nm,Person
l64426,Proche-Orient,Npx,Artifact
l64430,Profondeville,Npx,Institution
l64431,Profondevillois,Nm,Person
l64432,Profondevilloise,Nf,Person
l64453,Pronville,Npx,Institution
l64454,Pronvilloise,Nf,Person
l64455,Propagande,Npx,Act+Cognition
l64487,Prouville,Npx,Institution
l64488,Prouvillois,Nm,Person
l64489,Prouvilloise,Nf,Person
l64494,Provence,Npx,Artifact
l64504,Proverville,Npx,Institution
l64507,Proville,Npx,Institution
l64508,Provillois,Nm,Person
l64509,Provilloise,Nf,Person
l64574,Prusse,Npx,Institution
l64613,Préchacq-les-Bains,Npx,Institution
l64630,Précy-sous-Thil,Npx,Institution
l64695,Présentevillers,Npx,Institution
l64696,Préservillais,Nm,Person
l64697,Préservillaise,Nf,Person
l64698,Préserville,Npx,Institution
l64735,Prêtreville,Npx,Institution
l64736,Prêtrevillois,Nm,Person
l64737,Prêtrevilloise,Nf,Person
l64763,Puchevillers,Npx,Institution
l64768,Puchévillois,Nm,Person
l64769,Puchévilloise,Nf,Person
l64785,Puget-Ville,Npx,Institution
