rid,lid_1,graph_1,lid_2,graph_2,cat_1,cat_2,type_cstr_1,cstr_1,type_cstr_2,cstr_2,complexite,orientation
r1823,l114066,bahut,l114069,bahuter,Nm,V,conv,X,conv,X,simple,NA
r1833,l114152,bail,l114184,bailler,Nm,V,conv,X,conv,X,simple,NA
r1843,l114291,baise,l114298,baiser,Nf,V,conv,X,conv,X,simple,NA
r1846,l114297,baiser,l114298,baiser,Nm,V,conv,X,conv,X,simple,NA
r1853,l114309,baisse,l114312,baisser,Nf,V,conv,X,NA,X,simple,des2as
r1854,l114309,baisse,l114312,baisser,Nf,V,conv,X,conv,X,simple,NA
r1865,l114394,bal,l114786,baller,Nm,V,conv,X,conv,X,simple,NA
r1866,l114400,balade,l114401,balader,Nf,V,conv,X,conv,X,simple,NA
r1873,l114425,balafre,l114426,balafrer,Nf,V,conv,X,conv,X,simple,NA
r1874,l114443,balai,l114543,balayer,Nm,V,conv,X,conv,X,simple,NA
r1875,l114464,balance,l114468,balancer,Nf,V,conv,X,conv,X,simple,NA
r1904,l114707,balise,l114709,baliser,Nf,V,conv,X,conv,X,simple,NA
r1909,l114727,baliverne,l114728,baliverner,Nf,V,conv,X,conv,X,simple,NA
r1916,l114768,ballast,l114771,ballaster,Nm,V,conv,X,conv,X,simple,NA
r1955,l115017,balustre,l115018,balustrer,Nm,V,conv,X,conv,X,simple,NA
r1958,l115088,bamboche,l115089,bambocher,Nf,V,conv,X,conv,X,simple,NA
r1971,l115114,ban,l115419,bannir,Nm,V,conv,X,conv,X,simple,NA
r1980,l115182,banche,l115183,bancher,Nf,V,conv,X,conv,X,simple,NA
r1987,l115209,bande,l115215,bander,Nf,V,conv,X,conv,X,simple,NA
r1988,l115219,banderille,l115220,banderiller,Nf,V,conv,X,conv,X,simple,NA
r1990,l115223,banderole,l115224,banderoler,Nf,V,conv,X,conv,X,simple,NA
r2016,l115465,banquet,l115467,banqueter,Nm,V,conv,X,conv,X,simple,NA
r2036,l115618,baragouin,l115620,baragouiner,Nm,V,conv,X,conv,X,simple,NA
r2046,l115686,baratin,l115689,baratiner,Nm,V,conv,X,conv,X,simple,NA
r2055,l115697,baratte,l115699,baratter,Nf,V,conv,X,conv,X,simple,NA
r2065,l115780,barbe,l115816,barber,Nf,V,conv,X,conv,X,simple,NA
r2073,l115914,barbot,l115919,barboter,Nm,V,conv,X,conv,X,simple,NA
r2079,l115916,barbote,l115919,barboter,Nf,V,conv,X,conv,X,simple,NA
r2094,l115932,barbouille,l115934,barbouiller,Nf,V,conv,X,conv,X,simple,NA
r2109,l116045,barde,l116057,barder,Nf,V,conv,X,conv,X,simple,NA
r2136,l116419,baroud,l116421,barouder,Nm,V,conv,X,conv,X,simple,NA
r2142,l116494,barre,l116506,barrer,Nf,V,conv,X,conv,X,simple,NA
r2156,l116575,barrot,l116583,barrotter,Nm,V,conv,X,conv,X,simple,NA
r2171,l116929,bascule,l116931,basculer,Nf,V,conv,X,conv,X,simple,NA
r2175,l116939,base,l116952,baser,Nf,V,conv,X,conv,X,simple,NA
r2207,l117338,bastingue,l117339,bastinguer,Nf,V,conv,X,conv,X,simple,NA
r2208,l117340,bastion,l117341,bastionner,Nm,V,conv,X,conv,X,simple,NA
r2209,l117356,baston,l117361,bastonner,Nf,V,conv,X,conv,X,simple,NA
r2213,l117366,bastringue,l117367,bastringuer,Nm,V,conv,X,conv,X,simple,NA
r2215,l117377,bat,l117620,battre,Nm,V,conv,X,conv,X,simple,NA
r2216,l117386,bataille,l117387,batailler,Nf,V,conv,X,conv,X,simple,NA
r2242,l117572,batte,l117620,battre,Nf,V,conv,X,conv,X,simple,NA
r2253,l117623,battue,l117620,battre,Nf,V,conv,X,NA,X,simple,des2as
r2254,l117734,bauge,l117738,bauger,Nf,V,conv,X,conv,X,simple,NA
r2267,l117878,bave,l117888,baver,Nf,V,conv,X,conv,X,simple,NA
r2286,l118063,bazar,l118067,bazarder,Nm,V,conv,X,conv,X,simple,NA
r2299,l118767,bec,l118834,becquer,Nm,V,conv,X,conv,X,simple,NA
r2300,l118767,bec,l118844,becqueter,Nm,V,conv,X,conv,X,simple,NA
r2308,l118890,bedon,l118895,bedonner,Nm,V,conv,X,conv,X,simple,NA
r2321,l119565,belote,l119566,beloter,Nf,V,conv,X,conv,X,simple,NA
r2355,l120273,berne,l120284,berner,Nf,V,conv,X,conv,X,simple,NA
r2363,l120718,besogne,l120720,besogner,Nf,V,conv,X,conv,X,simple,NA
r2377,l121097,beurre,l121098,beurrer,Nm,V,conv,X,conv,X,simple,NA
r2385,l121356,biais,l121359,biaiser,Nm,V,conv,X,conv,X,simple,NA
r2392,l121420,bibard,l121421,bibarder,Nm,V,conv,X,conv,X,simple,NA
r2394,l121426,bibelot,l121428,bibeloter,Nm,V,conv,X,conv,X,simple,NA
r2431,l121731,bidon,l121740,bidonner,Nm,V,conv,X,conv,X,simple,NA
r2437,l121754,bidouille,l121755,bidouiller,Nf,V,conv,X,conv,X,simple,NA
r2457,l122101,bigorne,l122105,bigorner,Nf,V,conv,X,conv,X,simple,NA
r2462,l122179,bijou,l122181,bijouter,Nm,V,conv,X,conv,X,simple,NA
r2464,l122226,bile,l122228,biler,Nf,V,conv,X,conv,X,simple,NA
r2470,l122294,bille,l122298,biller,Nf,V,conv,X,conv,X,simple,NA
r2544,l123146,biscuit,l123147,biscuiter,Nm,V,conv,X,conv,X,simple,NA
r2547,l123155,bise,l123171,biser,Nf,V,conv,X,conv,X,simple,NA
r2548,l123156,biseau,l123158,biseauter,Nm,V,conv,X,conv,X,simple,NA
r2566,l123337,bistouri,l123338,bistourier,Nm,V,conv,X,conv,X,simple,NA
r2570,l123345,bistre,l123347,bistrer,Nm,V,conv,X,conv,X,simple,NA
r2576,l123440,bitte,l123442,bitter,Nf,V,conv,X,conv,X,simple,NA
r2578,l123451,bitume,l123452,bitumer,Nm,V,conv,X,conv,X,simple,NA
r2586,l123505,bivouac,l123506,bivouaquer,Nm,V,conv,X,conv,X,simple,NA
r2587,l123565,bizut,l123567,bizuter,Nm,V,conv,X,conv,X,simple,NA
r2598,l123706,blague,l123707,blaguer,Nf,V,conv,X,conv,X,simple,NA
r2605,l123739,blair,l123751,blairer,Nm,V,conv,X,conv,X,simple,NA
r2606,l123742,blaireau,l123744,blaireauter,Nm,V,conv,X,conv,X,simple,NA
r2633,l124020,blason,l124023,blasonner,Nm,V,conv,X,conv,X,simple,NA
r2636,l124027,blasphème,l124033,blasphémer,Nm,V,conv,X,conv,X,simple,NA
r2659,l124325,blinde,l124326,blinder,Nf,V,conv,X,conv,X,simple,NA
r2660,l124370,bloc,l124486,bloquer,Nm,V,conv,X,conv,X,simple,NA
r2680,l124484,bloque,l124486,bloquer,Nf,V,conv,X,conv,X,simple,NA
r2685,l124529,blouse,l124530,blouser,Nf,V,conv,X,conv,X,simple,NA
r2689,l124565,bluette,l124566,bluetter,Nf,V,conv,X,conv,X,simple,NA
r2691,l124567,bluff,l124569,bluffer,Nm,V,conv,X,conv,X,simple,NA
r2698,l124598,blâme,l124599,blâmer,Nm,V,conv,X,conv,X,simple,NA
r2699,l124614,blé,l124628,bléer,Nm,V,conv,X,conv,X,simple,NA
r2707,l124744,bobine,l124746,bobiner,Nf,V,conv,X,conv,X,simple,NA
r2718,l124810,bocard,l124812,bocarder,Nm,V,conv,X,conv,X,simple,NA
r2722,l124980,bogue,l124981,boguer,Nm,V,conv,X,conv,X,simple,NA
r2724,l125065,boire,l125066,boire,Nm,V,conv,X,conv,X,simple,NA
r2725,l125077,bois,l125162,boiser,Nm,V,conv,X,conv,X,simple,NA
r2755,l125565,bombance,l125566,bombancer,Nf,V,conv,X,conv,X,simple,NA
r2757,l125569,bombarde,l125571,bombarder,Nf,V,conv,X,conv,X,simple,NA
r2762,l125588,bombe,l125594,bomber,Nf,V,conv,X,conv,X,simple,NA
r2772,l125743,bond,l125779,bondir,Nm,V,conv,X,conv,X,simple,NA
r2774,l125752,bonde,l125756,bonder,Nf,V,conv,X,conv,X,simple,NA
r2783,l125862,boniment,l125863,bonimenter,Nm,V,conv,X,conv,X,simple,NA
r2804,l126251,bord,l126295,border,Nm,V,conv,X,conv,X,simple,NA
r2834,l126425,borne,l126432,borner,Nf,V,conv,X,conv,X,simple,NA
r2845,l126674,bosse,l126676,bosseler,Nf,V,conv,X,conv,X,simple,NA
r2846,l126674,bosse,l126686,bosser,Nf,V,conv,X,conv,X,simple,NA
r2860,l126752,boston,l126759,bostonner,Nm,V,conv,X,conv,X,simple,NA
r2867,l126853,botte,l126857,botteler,Nf,V,conv,X,conv,X,simple,NA
r2868,l126853,botte,l126864,botter,Nf,V,conv,X,conv,X,simple,NA
r2883,l126946,boucan,l126949,boucaner,Nm,V,conv,X,conv,X,simple,NA
r2893,l126982,boucharde,l126983,boucharder,Nf,V,conv,X,conv,X,simple,NA
r2914,l127084,boucle,l127087,boucler,Nf,V,conv,X,conv,X,simple,NA
r2923,l127145,boudin,l127150,boudiner,Nm,V,conv,X,conv,X,simple,NA
r2939,l127238,bouffe,l127249,bouffer,Nf,V,conv,X,conv,X,simple,NA
r2940,l127239,bouffe,l127249,bouffer,Nm,V,conv,X,conv,X,simple,NA
r2947,l127271,bouffon,l127278,bouffonner,Nm,V,conv,X,conv,X,simple,NA
r2953,l127327,bougie,l127328,bougier,Nf,V,conv,X,conv,X,simple,NA
r2967,l127387,bougran,l127389,bougraner,Nm,V,conv,X,conv,X,simple,NA
r2973,l127470,bouille,l127473,bouiller,Nf,V,conv,X,conv,X,simple,NA
r2992,l127558,boujon,l127559,boujonner,Nm,V,conv,X,conv,X,simple,NA
r2997,l127575,boulange,l127582,boulanger,Nf,V,conv,X,conv,X,simple,NA
r3003,l127636,boule,l127649,bouler,Nf,V,conv,X,conv,X,simple,NA
r3011,l127684,boulevard,l127685,boulevarder,Nm,V,conv,X,conv,X,simple,NA
r3020,l127713,bouline,l127714,bouliner,Nf,V,conv,X,conv,X,simple,NA
r3034,l127848,bouquet,l127849,bouqueter,Nm,V,conv,X,conv,X,simple,NA
r3039,l127865,bouquin,l127869,bouquiner,Nm,V,conv,X,conv,X,simple,NA
r3052,l127997,bourde,l128024,bourder,Nf,V,conv,X,conv,X,simple,NA
r3056,l128049,bourdon,l128058,bourdonner,Nm,V,conv,X,conv,X,simple,NA
r3065,l128155,bourgeon,l128158,bourgeonner,Nm,V,conv,X,conv,X,simple,NA
r3073,l128308,bourlingue,l128309,bourlinguer,Nf,V,conv,X,conv,X,simple,NA
r3080,l128396,bourrasque,l128397,bourrasquer,Nf,V,conv,X,conv,X,simple,NA
r3081,l128401,bourre,l128421,bourrer,Nf,V,conv,X,conv,X,simple,NA
r3121,l128597,bouse,l128598,bouser,Nf,V,conv,X,conv,X,simple,NA
r3132,l128684,boustifaille,l128685,boustifailler,Nf,V,conv,X,conv,X,simple,NA
r3137,l128745,bouteille,l128747,bouteiller,Nf,V,conv,X,conv,X,simple,NA
r3147,l128813,boutique,l128815,boutiquer,Nf,V,conv,X,conv,X,simple,NA
r3170,l129109,boxe,l129111,boxer,Nf,V,conv,X,conv,X,simple,NA
r3172,l129125,boyau,l129126,boyauder,Nm,V,conv,X,conv,X,simple,NA
r3173,l129125,boyau,l129130,boyauter,Nm,V,conv,X,conv,X,simple,NA
r3175,l129136,boycott,l129138,boycotter,Nm,V,conv,X,conv,X,simple,NA
r3205,l129450,brai,l129989,brayer,Nm,V,conv,X,conv,X,simple,NA
r3216,l129505,braise,l129506,braiser,Nf,V,conv,X,conv,X,simple,NA
r3221,l129542,brame,l129544,bramer,Nm,V,conv,X,conv,X,simple,NA
r3225,l129556,brancard,l129558,brancarder,Nm,V,conv,X,conv,X,simple,NA
r3230,l129566,branche,l129571,brancher,Nf,V,conv,X,conv,X,simple,NA
r3246,l129662,brandon,l129672,brandonner,Nm,V,conv,X,conv,X,simple,NA
r3252,l129703,branle,l129710,branler,Nm,V,conv,X,conv,X,simple,NA
r3264,l129804,bras,l129873,brasser,Nm,V,conv,X,conv,X,simple,NA
r3269,l129847,brasque,l129848,brasquer,Nf,V,conv,X,conv,X,simple,NA
r3303,l130133,brelan,l130136,brelander,Nm,V,conv,X,conv,X,simple,NA
r3306,l130147,brelle,l130148,breller,Nf,V,conv,X,conv,X,simple,NA
r3311,l130387,brette,l130388,bretteler,Nf,V,conv,X,conv,X,simple,NA
r3312,l130387,brette,l130391,bretter,Nf,V,conv,X,conv,X,simple,NA
r3314,l130429,breuil,l130446,breuiller,Nm,V,conv,X,conv,X,simple,NA
r3316,l130496,brevet,l130504,breveter,Nm,V,conv,X,conv,X,simple,NA
r3330,l130590,bricole,l130591,bricoler,Nf,V,conv,X,conv,X,simple,NA
r3339,l130631,bride,l130634,brider,Nf,V,conv,X,conv,X,simple,NA
r3340,l130639,bridge,l130640,bridger,Nm,V,conv,X,conv,X,simple,NA
r3348,l130724,brigand,l130728,brigander,Nm,V,conv,X,conv,X,simple,NA
r3352,l130792,brigue,l130800,briguer,Nf,V,conv,X,conv,X,simple,NA
r3353,l130793,brigue,l130800,briguer,Nm,V,conv,X,conv,X,simple,NA
r3365,l130892,brinde,l130893,brinder,Nf,V,conv,X,conv,X,simple,NA
r3367,l130915,bringue,l130922,bringuer,Nf,V,conv,X,conv,X,simple,NA
r3378,l131034,brique,l131041,briquer,Nf,V,conv,X,conv,X,simple,NA
r3379,l131034,brique,l131044,briqueter,Nf,V,conv,X,conv,X,simple,NA
r3385,l131052,bris,l131099,briser,Nm,V,conv,X,conv,X,simple,NA
r3398,l131232,brocante,l131233,brocanter,Nf,V,conv,X,conv,X,simple,NA
r3403,l131238,brocard,l131240,brocarder,Nm,V,conv,X,conv,X,simple,NA
r3411,l131254,broche,l131256,brocher,Nf,V,conv,X,conv,X,simple,NA
r3425,l131331,broie,l131786,broyer,Nf,V,conv,X,conv,X,simple,NA
r3447,l131539,brosse,l131541,brosser,Nf,V,conv,X,conv,X,simple,NA
r3454,l131615,brouette,l131616,brouetter,Nf,V,conv,X,conv,X,simple,NA
r3464,l131654,brouille,l131657,brouiller,Nf,V,conv,X,conv,X,simple,NA
r3473,l131697,brousse,l131698,brousser,Nf,V,conv,X,conv,X,simple,NA
r3492,l131779,broyat,l131786,broyer,Nm,V,conv,X,NA,X,simple,des2as
r3499,l131906,bruine,l131908,bruiner,Nf,V,conv,X,conv,X,simple,NA
r3507,l131924,bruit,l131913,bruire,Nm,V,conv,X,conv,X,simple,NA
r3508,l131924,bruit,l131928,bruiter,Nm,V,conv,X,conv,X,simple,NA
r3512,l131979,brume,l131982,brumer,Nf,V,conv,X,conv,X,simple,NA
r3540,l132424,brésil,l132430,brésiller,Nm,V,conv,X,conv,X,simple,NA
r3564,l132669,buccine,l132670,bucciner,Nf,V,conv,X,conv,X,simple,NA
r3566,l132797,budget,l132800,budgéter,Nm,V,conv,X,conv,X,simple,NA
r3578,l133004,buisson,l133013,buissonner,Nm,V,conv,X,conv,X,simple,NA
r3588,l133123,bulle,l133128,buller,Nf,V,conv,X,conv,X,simple,NA
r3603,l133408,burin,l133410,buriner,Nm,V,conv,X,conv,X,simple,NA
r3612,l133551,busc,l133601,busquer,Nm,V,conv,X,conv,X,simple,NA
r3623,l133751,butin,l133754,butiner,Nm,V,conv,X,conv,X,simple,NA
r3639,l133785,butte,l133789,butter,Nf,V,conv,X,conv,X,simple,NA
r3644,l133814,butée,l133736,buter,Nf,V,conv,X,NA,X,simple,des2as
r3650,l133970,buée,l132832,buer,Nf,V,conv,X,NA,X,simple,des2as
r3652,l134043,bâche,l134044,bâcher,Nf,V,conv,X,conv,X,simple,NA
r3658,l134050,bâcle,l134051,bâcler,Nf,V,conv,X,conv,X,simple,NA
r3675,l134085,bât,l134100,bâter,Nm,V,conv,X,conv,X,simple,NA
r3695,l134130,bâton,l134136,bâtonner,Nm,V,conv,X,conv,X,simple,NA
r3735,l134444,béguin,l134449,béguiner,Nm,V,conv,X,conv,X,simple,NA
r3738,l134448,béguine,l134449,béguiner,Nf,V,conv,X,conv,X,simple,NA
r3757,l134728,bénéfice,l134741,bénéficier,Nm,V,conv,X,conv,X,simple,NA
r3769,l134796,béquille,l134797,béquiller,Nf,V,conv,X,conv,X,simple,NA
r3774,l134956,béton,l134963,bétonner,Nm,V,conv,X,conv,X,simple,NA
r3783,l135061,bêche,l135065,bêcher,Nf,V,conv,X,conv,X,simple,NA
r3799,l135146,bûche,l135150,bûcher,Nf,V,conv,X,conv,X,simple,NA
r3811,l135211,cabale,l135212,cabaler,Nf,V,conv,X,conv,X,simple,NA
r3817,l135234,cabane,l135237,cabaner,Nf,V,conv,X,conv,X,simple,NA
r3835,l135369,cabotin,l135372,cabotiner,Nm,V,conv,X,conv,X,simple,NA
r3843,l135443,cabriole,l135444,cabrioler,Nf,V,conv,X,conv,X,simple,NA
r3858,l135546,cache,l135598,cacher,Nm,V,conv,X,conv,X,simple,NA
r3860,l135603,cachet,l135605,cacheter,Nm,V,conv,X,conv,X,simple,NA
r3884,l135746,cadastre,l135747,cadastrer,Nm,V,conv,X,conv,X,simple,NA
r3889,l135785,cadenas,l135789,cadenasser,Nm,V,conv,X,conv,X,simple,NA
r3892,l135794,cadence,l135796,cadencer,Nf,V,conv,X,conv,X,simple,NA
r3903,l135909,cadre,l135910,cadrer,Nm,V,conv,X,conv,X,simple,NA
r3906,l135955,cafard,l135958,cafarder,Nm,V,conv,X,conv,X,simple,NA
r3935,l136103,cagnard,l136106,cagnarder,Nm,V,conv,X,conv,X,simple,NA
r3936,l136112,cagne,l136113,cagner,Nm,V,conv,X,conv,X,simple,NA
r3937,l136193,cahot,l136197,cahoter,Nm,V,conv,X,conv,X,simple,NA
r3944,l136268,caillebotte,l136269,caillebotter,Nf,V,conv,X,conv,X,simple,NA
r3947,l136284,caillette,l136282,cailleter,Nf,V,conv,X,conv,X,simple,NA
r3950,l136304,caillou,l136315,caillouter,Nm,V,conv,X,conv,X,simple,NA
r3970,l136463,calamine,l136464,calaminer,Nf,V,conv,X,conv,X,simple,NA
r3974,l136491,calandre,l136493,calandrer,Nf,V,conv,X,conv,X,simple,NA
r3980,l136558,calcin,l136563,calciner,Nm,V,conv,X,conv,X,simple,NA
r3984,l136595,calcul,l136608,calculer,Nm,V,conv,X,conv,X,simple,NA
r3995,l136665,cale,l136723,caler,Nf,V,conv,X,conv,X,simple,NA
r4002,l136729,caleçon,l136732,caleçonner,Nm,V,conv,X,conv,X,simple,NA
r4004,l136736,calfat,l136738,calfater,Nm,V,conv,X,conv,X,simple,NA
r4013,l136754,calibre,l136755,calibrer,Nm,V,conv,X,conv,X,simple,NA
r4034,l137028,calomnie,l137029,calomnier,Nf,V,conv,X,conv,X,simple,NA
r4050,l137083,calotte,l137084,calotter,Nf,V,conv,X,conv,X,simple,NA
r4055,l137103,calque,l137104,calquer,Nm,V,conv,X,conv,X,simple,NA
r4062,l137260,camarade,l137262,camarader,Nm,V,conv,X,conv,X,simple,NA
r4074,l137427,cambriole,l137428,cambrioler,Nf,V,conv,X,conv,X,simple,NA
r4081,l137469,came,l137504,camer,Nf,V,conv,X,conv,X,simple,NA
r4082,l137484,camelot,l137487,cameloter,Nm,V,conv,X,conv,X,simple,NA
r4084,l137486,camelote,l137487,cameloter,Nf,V,conv,X,conv,X,simple,NA
r4091,l137543,camion,l137548,camionner,Nm,V,conv,X,conv,X,simple,NA
r4097,l137564,camisole,l137565,camisoler,Nf,V,conv,X,conv,X,simple,NA
r4106,l137622,camp,l137727,camper,Nm,V,conv,X,conv,X,simple,NA
r4117,l137753,camphre,l137754,camphrer,Nm,V,conv,X,conv,X,simple,NA
r4127,l138064,canaille,l138065,canailler,Nf,V,conv,X,conv,X,simple,NA
r4147,l138178,cancan,l138181,cancaner,Nm,V,conv,X,conv,X,simple,NA
r4163,l138325,cane,l138343,caner,Nf,V,conv,X,conv,X,simple,NA
r4170,l138367,canevas,l138368,canevasser,Nm,V,conv,X,conv,X,simple,NA
r4178,l138490,canne,l138522,canner,Nf,V,conv,X,conv,X,simple,NA
r4184,l138533,cannetille,l138534,cannetiller,Nf,V,conv,X,conv,X,simple,NA
r4194,l138569,canon,l138588,canonner,Nm,V,conv,X,conv,X,simple,NA
r4208,l138602,canot,l138605,canoter,Nm,V,conv,X,conv,X,simple,NA
r4213,l138633,cant,l138694,canter,Nm,V,conv,X,conv,X,simple,NA
r4215,l138699,cantharide,l138700,cantharider,Nf,V,conv,X,conv,X,simple,NA
r4217,l138728,cantine,l138729,cantiner,Nf,V,conv,X,conv,X,simple,NA
r4221,l138752,canton,l138768,cantonner,Nm,V,conv,X,conv,X,simple,NA
r4230,l138794,canule,l138795,canuler,Nf,V,conv,X,conv,X,simple,NA
r4232,l138843,caoutchouc,l138846,caoutchouter,Nm,V,conv,X,conv,X,simple,NA
r4239,l138910,caparaçon,l138912,caparaçonner,Nm,V,conv,X,conv,X,simple,NA
r4261,l139189,capiton,l139191,capitonner,Nm,V,conv,X,conv,X,simple,NA
r4275,l139246,capon,l139248,caponner,Nm,V,conv,X,conv,X,simple,NA
r4280,l139264,capot,l139267,capoter,Nm,V,conv,X,conv,X,simple,NA
r4293,l139381,capsule,l139383,capsuler,Nf,V,conv,X,conv,X,simple,NA
r4312,l139422,capture,l139423,capturer,Nf,V,conv,X,conv,X,simple,NA
r4321,l139488,caque,l139494,caquer,Nf,V,conv,X,conv,X,simple,NA
r4322,l139498,caquet,l139502,caqueter,Nm,V,conv,X,conv,X,simple,NA
r4333,l139532,carabin,l139537,carabiner,Nm,V,conv,X,conv,X,simple,NA
r4349,l139619,carambole,l139620,caramboler,Nf,V,conv,X,conv,X,simple,NA
r4355,l139624,carambouille,l139625,carambouiller,Nf,V,conv,X,conv,X,simple,NA
r4382,l139866,carcasse,l139867,carcasser,Nf,V,conv,X,conv,X,simple,NA
r4386,l139930,carde,l139935,carder,Nf,V,conv,X,conv,X,simple,NA
r4402,l140064,carence,l140065,carencer,Nf,V,conv,X,conv,X,simple,NA
r4403,l140091,caresse,l140092,caresser,Nf,V,conv,X,conv,X,simple,NA
r4408,l140118,cargue,l140119,carguer,Nf,V,conv,X,conv,X,simple,NA
r4410,l140143,caricature,l140144,caricaturer,Nf,V,conv,X,conv,X,simple,NA
r4413,l140156,carie,l140161,carier,Nf,V,conv,X,conv,X,simple,NA
r4414,l140175,carillon,l140182,carillonner,Nm,V,conv,X,conv,X,simple,NA
r4422,l140342,carmin,l140347,carminer,Nm,V,conv,X,conv,X,simple,NA
r4432,l140468,carole,l140469,caroler,Nf,V,conv,X,conv,X,simple,NA
r4438,l140543,carotte,l140544,carotter,Nf,V,conv,X,conv,X,simple,NA
r4456,l140681,carre,l140698,carrer,Nf,V,conv,X,NA,X,simple,des2as
r4472,l140729,carrosse,l140730,carrosser,Nm,V,conv,X,conv,X,simple,NA
r4480,l140800,carte,l140829,carter,Nf,V,conv,X,conv,X,simple,NA
r4506,l140974,carène,l140981,caréner,Nf,V,conv,X,conv,X,simple,NA
r4513,l141042,cascade,l141044,cascader,Nf,V,conv,X,conv,X,simple,NA
r4519,l141068,case,l141083,caser,Nf,V,conv,X,conv,X,simple,NA
r4520,l141074,casemate,l141075,casemater,Nm,V,conv,X,conv,X,simple,NA
r4522,l141088,caserne,l141090,caserner,Nf,V,conv,X,conv,X,simple,NA
r4531,l141144,casque,l141148,casquer,Nm,V,conv,X,conv,X,simple,NA
r4538,l141209,casse,l141288,casser,Nf,V,conv,X,conv,X,simple,NA
r4539,l141210,casse,l141288,casser,Nm,V,conv,X,conv,X,simple,NA
r4553,l141405,castagne,l141407,castagner,Nf,V,conv,X,conv,X,simple,NA
r4563,l142008,castrat,l142013,castrer,Nm,V,conv,X,NA,X,simple,des2as
r4574,l142209,catalogue,l142211,cataloguer,Nm,V,conv,X,conv,X,simple,NA
r4578,l142218,catalyse,l142219,catalyser,Nf,V,conv,X,conv,X,simple,NA
r4584,l142258,catapulte,l142259,catapulter,Nf,V,conv,X,conv,X,simple,NA
r4586,l142265,cataracte,l142266,cataracter,Nf,V,conv,X,conv,X,simple,NA
r4587,l142285,catastrophe,l142286,catastropher,Nf,V,conv,X,conv,X,simple,NA
r4590,l142304,catch,l142305,catcher,Nm,V,conv,X,conv,X,simple,NA
r4603,l142414,cati,l142431,catir,Nm,V,conv,X,conv,X,simple,NA
r4629,l142588,cauchemar,l142589,cauchemarder,Nm,V,conv,X,conv,X,simple,NA
r4639,l142796,cause,l142801,causer,Nf,V,conv,X,conv,X,simple,NA
r4645,l142867,caution,l142871,cautionner,Nf,V,conv,X,conv,X,simple,NA
r4651,l142920,cavalcade,l142921,cavalcader,Nf,V,conv,X,conv,X,simple,NA
r4653,l142924,cavale,l142926,cavaler,Nf,V,conv,X,conv,X,simple,NA
r4663,l142962,cave,l142972,caver,Nf,V,conv,X,conv,X,simple,NA
r4667,l142987,caviar,l142989,caviarder,Nm,V,conv,X,conv,X,simple,NA
r4698,l143509,cendre,l143511,cendrer,Nf,V,conv,X,conv,X,simple,NA
r4710,l143575,censure,l143576,censurer,Nf,V,conv,X,conv,X,simple,NA
r4730,l143705,centre,l143718,centrer,Nm,V,conv,X,conv,X,simple,NA
r4748,l143841,cercle,l143843,cercler,Nm,V,conv,X,conv,X,simple,NA
r4759,l143958,cerne,l143961,cerner,Nm,V,conv,X,conv,X,simple,NA
r4760,l144023,certificat,l144030,certifier,Nm,V,conv,X,NA,X,simple,des2as
r4772,l144130,cesse,l144137,cesser,Nf,V,conv,X,conv,X,simple,NA
r4783,l144445,chagrin,l144447,chagriner,Nm,V,conv,X,conv,X,simple,NA
r4786,l144465,chahut,l144467,chahuter,Nm,V,conv,X,conv,X,simple,NA
r4798,l144771,challenge,l144773,challenger,Nm,V,conv,X,conv,X,simple,NA
r4800,l144838,chaloupe,l144840,chalouper,Nf,V,conv,X,conv,X,simple,NA
r4804,l144866,chalut,l144868,chaluter,Nm,V,conv,X,conv,X,simple,NA
r4809,l144917,chamaille,l144919,chamailler,Nf,V,conv,X,conv,X,simple,NA
r4828,l144955,chamarre,l144956,chamarrer,Nf,V,conv,X,conv,X,simple,NA
r4830,l144967,chambard,l144969,chambarder,Nm,V,conv,X,conv,X,simple,NA
r4841,l145123,chambre,l145127,chambrer,Nf,V,conv,X,conv,X,simple,NA
r4860,l145456,champignon,l145459,champignonner,Nm,V,conv,X,conv,X,simple,NA
r4879,l145783,chanfrein,l145786,chanfreiner,Nm,V,conv,X,conv,X,simple,NA
r4881,l145792,change,l145809,changer,Nm,V,conv,X,conv,X,simple,NA
r4887,l145877,chanson,l145880,chansonner,Nf,V,conv,X,conv,X,simple,NA
r4891,l145889,chant,l145951,chanter,Nm,V,conv,X,conv,X,simple,NA
r4920,l146125,chapeau,l146127,chapeauter,Nm,V,conv,X,conv,X,simple,NA
r4933,l146257,chapitre,l146258,chapitrer,Nm,V,conv,X,conv,X,simple,NA
r4934,l146275,chapon,l146284,chaponner,Nm,V,conv,X,conv,X,simple,NA
r4938,l146312,chapus,l146313,chapuser,Nm,V,conv,X,conv,X,simple,NA
r4939,l146319,char,l146840,charrier,Nm,V,conv,X,conv,X,simple,NA
r4940,l146323,charabia,l146325,charabiater,Nm,V,conv,X,conv,X,simple,NA
r4942,l146366,charbon,l146375,charbonner,Nm,V,conv,X,conv,X,simple,NA
r4951,l146426,chardon,l146438,chardonner,Nm,V,conv,X,conv,X,simple,NA
r4975,l146551,charlatan,l146554,charlataner,Nm,V,conv,X,conv,X,simple,NA
r4982,l146620,charme,l146628,charmer,Nm,V,conv,X,conv,X,simple,NA
r4990,l146757,charogne,l146758,charogner,Nf,V,conv,X,conv,X,simple,NA
r4998,l146792,charpente,l146793,charpenter,Nf,V,conv,X,conv,X,simple,NA
