rid,lid_1,graph_1,lid_2,graph_2,cat_1,cat_2,type_cstr_1,cstr_1,type_cstr_2,cstr_2,complexite,orientation
r6706,l158229,contagionner,l158225,contagion,V,Nf,conv,X,NA,X,simple,des2as
r6764,l158425,contorsionner,l158423,contorsion,V,Nf,conv,X,NA,X,simple,des2as
r6772,l158469,contracturer,l158468,contracture,V,Nf,conv,X,NA,X,simple,des2as
r6778,l158488,contraindre,l158490,contrainte,V,Nf,conv,X,conv,X,simple,NA
r6801,l158978,contredanser,l158977,contredanse,V,Nf,conv,X,NA,X,simple,des2as
r6851,l159228,contusionner,l159226,contusion,V,Nf,conv,X,NA,X,simple,des2as
r6856,l159296,conversationner,l159291,conversation,V,Nf,conv,X,NA,X,simple,des2as
r6898,l159403,convulsionner,l159398,convulsion,V,Nf,conv,X,NA,X,simple,des2as
r7084,l160831,corruptionner,l160830,corruption,V,Nf,conv,X,NA,X,simple,des2as
r7107,l161100,cosaquer,l161101,cosaquerie,V,Nf,conv,X,suf,Xerie,simple,NA
r7220,l162131,coupeller,l162130,coupelle,V,Nf,conv,X,NA,X,simple,des2as
r7259,l162289,courbetter,l162288,courbette,V,Nf,conv,X,NA,X,simple,des2as
r7269,l162471,courir,l162638,course,V,Nf,conv,X,conv,X,simple,NA
r7326,l163111,couturer,l163107,couture,V,Nf,conv,X,NA,X,simple,des2as
r7464,l164209,crevasser,l164207,crevasse,V,Nf,conv,X,NA,X,simple,des2as
r7605,l165548,cryptographier,l165547,cryptographie,V,Nf,conv,X,NA,X,simple,des2as
r7686,l166378,cuirasser,l166375,cuirasse,V,Nf,conv,X,NA,X,simple,des2as
r7690,l166384,cuire,l166460,cuite,V,Nf,conv,X,conv,X,simple,NA
r7705,l166461,cuiter,l166460,cuite,V,Nf,conv,X,NA,X,simple,des2as
r7725,l166596,culotter,l166594,culotte,V,Nf,conv,X,NA,X,simple,des2as
r7788,l167383,cyanoser,l167381,cyanose,V,Nf,conv,X,NA,X,simple,des2as
r7796,l167521,cycler,l167526,cyclisation,V,Nf,conv,X,suf,Xion,complexe,NA
r7928,l168833,dactylographier,l168832,dactylographie,V,Nf,conv,X,NA,X,simple,des2as
r8061,l170693,descendre,l170697,descente,V,Nf,conv,X,conv,X,simple,NA
r8193,l171456,dialyser,l171455,dialyse,V,Nf,conv,X,NA,X,simple,des2as
r8296,l172336,dimensionner,l172330,dimension,V,Nf,conv,X,NA,X,simple,des2as
r8396,l172999,disgracier,l173004,disgrâce,V,Nf,conv,X,NA,X,simple,des2as
r8429,l173116,disproportionner,l173112,disproportion,V,Nf,conv,X,NA,X,simple,des2as
r8518,l173272,distancer,l173268,distance,V,Nf,conv,X,NA,X,simple,des2as
r8521,l173277,distancier,l173268,distance,V,Nf,conv,X,NA,X,simple,des2as
r9462,l178213,décongestionner,l178211,décongestion,V,Nf,conv,X,NA,X,simple,des2as
r9624,l178679,défaire,l178685,défaite,V,Nf,conv,X,conv,X,simple,NA
r10031,l179914,démissionner,l179909,démission,V,Nf,conv,X,NA,X,simple,des2as
r10518,l181207,désaffectionner,l181203,désaffectation,V,Nf,conv,X,NA,X,simple,des2as
r10519,l181207,désaffectionner,l181205,désaffection,V,Nf,conv,X,NA,X,simple,des2as
r10692,l181985,désillusionner,l181982,désillusion,V,Nf,conv,X,NA,X,simple,des2as
r10768,l182346,déségrégationner,l182345,déségrégation,V,Nf,conv,X,NA,X,simple,des2as
r10805,l182471,détendre,l182477,détente,V,Nf,conv,X,conv,X,simple,NA
r11282,l184044,embûcher,l184042,embûche,V,Nf,conv,X,conv,X,simple,NA
r11795,l185426,enfanter,l185419,enfant,V,Nf,conv,X,conv,X,simple,NA
r11872,l185631,engeancer,l185630,engeance,V,Nf,conv,X,conv,X,simple,NA
r12161,l186367,entendre,l186371,entente,V,Nf,conv,X,conv,X,simple,NA
r12307,l187158,enverguer,l187159,envergure,V,Nf,conv,X,conv,X,simple,NA
r12354,l187419,ergoter,l187433,ergotisation,V,Nf,conv,X,suf,Xion,complexe,NA
r12385,l187671,escalader,l187670,escalade,V,Nf,conv,X,NA,X,simple,des2as
r12527,l189039,estocader,l189038,estocade,V,Nf,conv,X,NA,X,simple,des2as
r12532,l189135,estrapader,l189134,estrapade,V,Nf,conv,X,NA,X,simple,des2as
r12583,l189816,euthanasier,l189815,euthanasie,V,Nf,conv,X,NA,X,simple,des2as
r12658,l190134,excursionner,l190133,excursion,V,Nf,conv,X,NA,X,simple,des2as
r12718,l190439,expansionner,l190438,expansion,V,Nf,conv,X,NA,X,simple,des2as
r12802,l190642,expéditionner,l190638,expédition,V,Nf,conv,X,NA,X,simple,des2as
r12924,l191269,facetter,l191268,facette,V,Nf,conv,X,NA,X,simple,des2as
r12964,l191512,faillir,l191513,faillite,V,Nf,conv,X,conv,X,simple,NA
r12965,l191512,faillir,l192583,faute,V,Nf,conv,X,conv,X,simple,NA
r12967,l191531,fainéantiser,l191530,fainéantise,V,Nf,conv,X,NA,X,simple,des2as
r13112,l192450,fauciller,l192449,faucille,V,Nf,conv,X,NA,X,simple,des2as
r13152,l192854,façonner,l192849,façon,V,Nf,conv,X,NA,X,simple,des2as
r13161,l192935,feindre,l192937,feinte,V,Nf,conv,X,conv,X,simple,NA
r13164,l192938,feinter,l192937,feinte,V,Nf,conv,X,NA,X,simple,des2as
r13174,l192984,fellationner,l192983,fellation,V,Nf,conv,X,NA,X,simple,des2as
r13186,l193115,fendre,l193174,fente,V,Nf,conv,X,conv,X,simple,NA
r13388,l194263,filaturer,l194262,filature,V,Nf,conv,X,NA,X,simple,des2as
r13475,l194681,fissionner,l194680,fission,V,Nf,conv,X,NA,X,simple,des2as
r13629,l195881,fluorer,l195894,fluorisation,V,Nf,conv,X,suf,Xion,complexe,NA
r13647,l196018,fléchir,l195992,flèche,V,Nf,conv,X,conv,X,simple,NA
r13733,l196458,fonctionner,l196432,fonction,V,Nf,conv,X,NA,X,simple,des2as
r13750,l196511,fondre,l196669,fonte,V,Nf,conv,X,conv,X,simple,NA
r13831,l197147,formoler,l197148,formolisation,V,Nf,conv,X,suf,Xion,complexe,NA
r13836,l197166,formuler,l197164,formule,V,Nf,conv,X,NA,X,simple,des2as
r13986,l198134,fractionner,l198130,fraction,V,Nf,conv,X,NA,X,simple,des2as
r13991,l198145,fracturer,l198144,fracture,V,Nf,conv,X,NA,X,simple,des2as
r14020,l198395,franchiser,l198394,franchise,V,Nf,conv,X,NA,X,simple,des2as
r14103,l199373,frictionner,l199369,friction,V,Nf,conv,X,NA,X,simple,des2as
r14239,l200304,fuir,l200311,fuite,V,Nf,conv,X,conv,X,simple,NA
r14296,l200705,fusionner,l200696,fusion,V,Nf,conv,X,NA,X,simple,des2as
r14410,l202034,galocher,l202035,galocherie,V,Nf,conv,X,suf,Xerie,simple,NA
r14447,l202183,gambader,l202181,gambade,V,Nf,conv,X,NA,X,simple,des2as
r14524,l202868,garnisonner,l202865,garnison,V,Nf,conv,X,NA,X,simple,des2as
r14889,l206218,glycériner,l206217,glycérine,V,Nf,conv,X,NA,X,simple,des2as
r15113,l208005,gracier,l210356,grâce,V,Nf,conv,X,conv,X,simple,NA
r15191,l208784,graphiter,l208787,graphitisation,V,Nf,conv,X,suf,Xion,complexe,NA
r15275,l209210,grecquer,l209209,grecque,V,Nf,conv,X,NA,X,simple,des2as
r15302,l209304,grenailler,l209302,grenaille,V,Nf,conv,X,NA,X,simple,des2as
r15414,l209793,grisailler,l209791,grisaille,V,Nf,conv,X,NA,X,simple,des2as
r15698,l212486,géographier,l212483,géographie,V,Nf,conv,X,NA,X,simple,des2as
r15753,l212955,hachurer,l212954,hachure,V,Nf,conv,X,NA,X,simple,des2as
r15819,l214002,hargner,l214003,hargnerie,V,Nf,conv,X,suf,Xerie,simple,NA
r15824,l214061,harmonier,l214070,harmonisation,V,Nf,conv,X,suf,Xion,complexe,NA
r15980,l216493,historier,l216507,historisation,V,Nf,conv,X,suf,Xion,complexe,NA
r16025,l216884,holographier,l216883,holographie,V,Nf,conv,X,NA,X,simple,des2as
r16155,l218005,houssiner,l218004,houssine,V,Nf,conv,X,NA,X,simple,des2as
r16220,l218788,hydrater,l183023,eau,V,Nf,conv,X,NA,X,simple,des2as
r16239,l218964,hydrolyser,l218963,hydrolyse,V,Nf,conv,X,NA,X,simple,des2as
r16302,l219428,hyperesthésier,l219427,hyperesthésie,V,Nf,conv,X,NA,X,simple,des2as
r16321,l219567,hyperplasier,l219566,hyperplasie,V,Nf,conv,X,NA,X,simple,des2as
r16338,l219687,hypertrophier,l219686,hypertrophie,V,Nf,conv,X,NA,X,simple,des2as
r16372,l219989,hypostasier,l219988,hypostase,V,Nf,conv,X,NA,X,simple,des2as
r16384,l220033,hypothéquer,l220026,hypothèque,V,Nf,conv,X,NA,X,simple,des2as
r16446,l220688,hémodialyser,l220687,hémodialyse,V,Nf,conv,X,NA,X,simple,des2as
r16450,l220705,hémolyser,l220704,hémolyse,V,Nf,conv,X,NA,X,simple,des2as
r16604,l222229,illusionner,l222224,illusion,V,Nf,conv,X,NA,X,simple,des2as
r16719,l222899,importuner,l222900,importunité,V,Nf,conv,X,suf,Xité,simple,NA
r16725,l222954,impressionner,l222945,impression,V,Nf,conv,X,NA,X,simple,des2as
r16837,l223940,incursionner,l223939,incursion,V,Nf,conv,X,NA,X,simple,des2as
r16864,l224071,indigestionner,l224070,indigestion,V,Nf,conv,X,NA,X,simple,des2as
r16922,l224797,influencer,l224796,influence,V,Nf,conv,X,NA,X,simple,des2as
r16980,l225230,initialer,l225229,initiale,V,Nf,conv,X,NA,X,simple,des2as
r17020,l225466,inquisitionner,l225465,inquisition,V,Nf,conv,X,NA,X,simple,des2as
r17050,l225680,inspectionner,l225679,inspection,V,Nf,conv,X,NA,X,simple,des2as
r17129,l225877,insurrectionner,l225871,insurrection,V,Nf,conv,X,NA,X,simple,des2as
r17160,l225988,intentionner,l225977,intention,V,Nf,conv,X,NA,X,simple,des2as
r17283,l226458,intersectionner,l226455,intersection,V,Nf,conv,X,NA,X,simple,des2as
r17362,l226978,inventorier,l226980,inventorisation,V,Nf,conv,X,suf,Xion,complexe,NA
r17749,l230660,juger,l230649,juge,V,Nf,conv,X,conv,X,simple,NA
r17814,l231323,jérémiader,l231322,jérémiade,V,Nf,conv,X,NA,X,simple,des2as
r18182,l238190,levurer,l238189,levure,V,Nf,conv,X,NA,X,simple,des2as
r18202,l238343,liaisonner,l238340,liaison,V,Nf,conv,X,NA,X,simple,des2as
r18208,l238366,liasser,l238365,liasse,V,Nf,conv,X,NA,X,simple,des2as
r18251,l238822,ligaturer,l238821,ligature,V,Nf,conv,X,NA,X,simple,des2as
r18391,l239906,lithographier,l239905,lithographie,V,Nf,conv,X,NA,X,simple,des2as
r18496,l241639,lotionner,l241637,lotion,V,Nf,conv,X,NA,X,simple,des2as
r18508,l241675,louanger,l241674,louange,V,Nf,conv,X,NA,X,simple,des2as
r18537,l242003,lourder,l242002,lourde,V,Nf,conv,X,NA,X,simple,des2as
